old	short_name	tip.label	group	hex_col	WLECC	Marvin_choice
ATCC29413	ATCC29413	ATCC29413	Other	#9C0000	FALSE	FALSE
LE19-195.1B	LE19-195.1A	LE19-195	Mae3_1	#D9D9D9	TRUE	FALSE
LE19-195.1B	LE19-195.1A	LE19-195	Other	#9C0000	TRUE	FALSE
LE19-84.1A	LE19-84.1	LE19-84	Mae4	#FF0B7F	TRUE	FALSE
LE19-84.1A	LE19-84.1	LE19-84	Other	#9C0000	TRUE	FALSE
Microcystis_0824	MCSP0824	Microcystis_0824	Mfl_ae5	#FF4E00	FALSE	FALSE
Microcystis_aeruginosa_11_30S32	11_30S32	Microcystis_aeruginosa_11-30S32	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_BK11_02	BK11_02	Microcystis_aeruginosa_BK11-02	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_BS11_05	BS11_05	Microcystis_aeruginosa_BS11-05	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_BS13_02	BS13_02	Microcystis_aeruginosa_BS13-02	Mae6	#185712	FALSE	FALSE
Microcystis_aeruginosa_BS13_10	BS13_10	Microcystis_aeruginosa_BS13-10	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_CACIAM_03	CACIAM_03	Microcystis_aeruginosa_CACIAM_03	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_CHAOHU_1326	CHAOHU_1326	Microcystis_aeruginosa_CHAOHU_1326	Mae4	#FF0B7F	FALSE	FALSE
Microcystis_aeruginosa_DA14	DA14	Microcystis_aeruginosa_DA14	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_DIANCHI905	DIANCHI905	Microcystis_aeruginosa_DIANCHI905	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_EAWAG127a	EAWAG127a	Microcystis_aeruginosa_EAWAG127a	Mae6	#185712	FALSE	FALSE
Microcystis_aeruginosa_F13_15	F13_15	Microcystis_aeruginosa_F13-15	Mae4	#FF0B7F	FALSE	FALSE
Microcystis_aeruginosa_FACHB_524	FACHB_524	Microcystis_aeruginosa_FACHB-524	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_FCY_26	FCY_26	Microcystis_aeruginosa_FCY-26	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_FCY_27	FCY_27	Microcystis_aeruginosa_FCY-27	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_FCY_28	FCY_28	Microcystis_aeruginosa_FCY-28	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_FD4	FD4	Microcystis_aeruginosa_FD4	Mvi	#FF668B	FALSE	FALSE
Microcystis_aeruginosa_G11_01	G11_01	Microcystis_aeruginosa_G11-01	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G11_04	G11_04	Microcystis_aeruginosa_G11-04	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G11_06	G11_06	Microcystis_aeruginosa_G11-06	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G11_09	G11_09	Microcystis_aeruginosa_G11-09	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_01	G13_01	Microcystis_aeruginosa_G13-01	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_03	G13_03	Microcystis_aeruginosa_G13-03	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_05	G13_05	Microcystis_aeruginosa_G13-05	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_07	G13_07	Microcystis_aeruginosa_G13-07	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_09	G13_09	Microcystis_aeruginosa_G13-09	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_10	G13_10	Microcystis_aeruginosa_G13-10	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_11	G13_11	Microcystis_aeruginosa_G13-11	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_G13_12	G13_12	Microcystis_aeruginosa_G13-12	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_K13_05	K13_05	Microcystis_aeruginosa_K13-05	Mae3_3	#A6A6A6	FALSE	FALSE
Microcystis_aeruginosa_K13_06	K13_06	Microcystis_aeruginosa_K13-06	Mae3_2	#BFBFBF	FALSE	FALSE
Microcystis_aeruginosa_K13_07	K13_07	Microcystis_aeruginosa_K13-07	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_K13_10	K13_10	Microcystis_aeruginosa_K13-10	Mae3_3	#A6A6A6	FALSE	FALSE
Microcystis_aeruginosa_KLA2	KLA2	Microcystis_aeruginosa_KLA2	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_KW	KW	Microcystis_aeruginosa_KW	Mae3_2	#BFBFBF	FALSE	FALSE
Microcystis_aeruginosa_L111_01	L111_01	Microcystis_aeruginosa_L111-01	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_L211_07	L211_07	Microcystis_aeruginosa_L211-07	Mae5	#9BC2E6	FALSE	FALSE
Microcystis_aeruginosa_L211_101	L211_101	Microcystis_aeruginosa_L211-101	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_L211_11	L211_11	Microcystis_aeruginosa_L211-11	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_L311_01	L311_01	Microcystis_aeruginosa_L311-01	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_LE13_04	LE13_04	Microcystis_aeruginosa_LE13-04	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_LE3	LE3	Microcystis_aeruginosa_LE3	Mae1	#806000	FALSE	TRUE
Microcystis_aeruginosa_LG11_05	LG11_05	Microcystis_aeruginosa_LG11-05	Mae10	#FFE699	FALSE	FALSE
Microcystis_aeruginosa_LG13_03	LG13_03	Microcystis_aeruginosa_LG13-03	Mae10	#FFE699	FALSE	FALSE
Microcystis_aeruginosa_LG13_11	LG13_11	Microcystis_aeruginosa_LG13-11	Mvi	#FF668B	FALSE	FALSE
Microcystis_aeruginosa_LG13_12	LG13_12	Microcystis_aeruginosa_LG13-12	Mae10	#FFE699	FALSE	FALSE
