Culture	Strain	Clade	NCBI RefSeq assembly accession	accession
LE17_10	LE17-10	Mae5	GCF_027530955.1	GCF_027530955
LE17_20	LE17-20	Mae8	GCF_027530875.1	GCF_027530875
LE18_13.4	LE18-13	Mfl_ae1	GCF_048564745.1	GCF_048564745
LE18_22.4	LE18-22	Mae3_1	GCF_027531105.1	GCF_027531105
LE19_10.1	LE19-10	Mae3_3	GCF_027530565.1	GCF_027530565
LE19_114.1	LE19-114	Mae5	GCA_027531155.1_ASM2753115v1	GCA_027531155.1_ASM2753115v1
LE19_12.2	LE19-12	Mfl_ae1	GCA_027530665.1_ASM2753066v1	GCA_027530665.1_ASM2753066v1
LE19_131.1	LE19-131	Mae1	GCF_027532015.1	GCF_027532015
LE19_195.1	LE19-195	Mae3_1	GCF_027532095.1	GCF_027532095
LE19_196.1	LE19-196	Mae5	GCA_027531495.1_ASM2753149v1	GCA_027531495.1_ASM2753149v1
LE19_197.1	LE19-197	Mfl_ae1	GCA_048564725.1_ASM4856472v1	GCA_048564725.1_ASM4856472v1
LE19_251.1	LE19-251	Mae3_3	GCA_027533325.1_ASM2753332v1	GCA_027533325.1_ASM2753332v1
LE19_282.1	LE19-282	Mae3_3	LE19_282.1	LE19_282
LE19_338.1	LE19-338	Mfl_ae3	GCA_027531665.1_ASM2753166v1	GCA_027531665.1_ASM2753166v1
LE19_388.1	LE19-388	Mfl_ae3	GCA_027533345.1_ASM2753334v1	GCA_027533345.1_ASM2753334v1
LE19_4.1	LE19-4	Mae5	GCA_027532315.1_ASM2753231v1	GCA_027532315.1_ASM2753231v1
LE19_41.2	LE19-41	Mae3_3	GCF_027530405.1	GCF_027530405
LE19_55.1	LE19-55	Mfl_ae1	GCA_027532765.1_ASM2753276v1	GCA_027532765.1_ASM2753276v1
LE19_59	LE19-59	Mae3_3	GCF_027532545.1	GCF_027532545
LE19_8.1	LE19-8	Mae8	GCF_027531715.1	GCF_027531715
LE19_84.1	LE19-84	Mae4	GCF_027531875.1	GCF_027531875
LE19_98.1	LE19-98	Mfl_ae1	GCA_027532765.1_ASM2753276v1	GCA_027532765.1_ASM2753276v1
LE3	LE3	Mae1	GCA_002282945.1_ASM228294v1	GCA_002282945.1_ASM228294v1
