cluster,median_presence,zero_count,total_count,zero_percentage,Type,Type_2
T3PKS-Merocyclophane,0.891891892,0,21,0,C-Rich,Non-peptidic
Cyanobactin ctg13,0.846153846,0,21,0,N-Rich,Peptidic
Microviridin,0.8,2,21,0.095238095,N-Rich,Peptidic
NRPS-like-1,0.8,0,21,0,N-Rich,Peptidic
Novel-T3PKS,0.722222222,0,21,0,C-Rich,Non-peptidic
T1PKS-Terpene,0.571428571,0,21,0,C-Rich,Non-peptidic
Cyanobactin ctg39,0.571428571,0,21,0,N-Rich,Peptidic
Cyanobactin ctg115,0.5,1,21,0.047619048,N-Rich,Peptidic
Lanthipeptide,0.468085106,0,21,0,N-Rich,Peptidic
Cyanopeptolin,0.428571429,7,21,0.333333333,C-Rich,Peptidic
LAP,0.424242424,0,21,0,N-Rich,Peptidic
T1PKS,0.375,0,21,0,C-Rich,Non-peptidic
1-heptadecene,0.333333333,0,21,0,C-Rich,Non-peptidic
Anabaenopeptin,0.266666667,0,21,0,N-Rich,Peptidic
Bartoloside-like-T1PKS,0.25,0,21,0,C-Rich,Non-peptidic
Microcystin,0.235294118,0,21,0,N-Rich,Peptidic
NRPS-T1PKS,0.2,0,21,0,N-Rich,Peptidic
RiPP-like,0.181818182,0,21,0,N-Rich,Peptidic
