"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"1-Heptadecene",-73.8261349531148,41.5757897776875,-1.77570012134165,0.0975140460788183,-162.997335407968,15.3450655017384,"Log Inhibition","No significant effect","Strong effect","LE19-195","Shared gene ANI"
"Cyanobactin (ctg13)",-55.1852475335845,22.3895502155062,-2.46477696078795,0.0272572937462455,-103.206056784269,-7.16443828289957,"Log Inhibition","Stronger defense","Strong effect","LE19-195","Shared gene ANI"
"Lanthipeptide (ctg3)",-105.962254592102,42.0484193593047,-2.52000565554325,0.0245004164388494,-196.147144681924,-15.7773645022799,"Log Inhibition","Stronger defense","Strong effect","LE19-195","Shared gene ANI"
"Lanthipeptide (ctg83)",439.555987411934,100.130612131702,4.38982622850427,0.000616776482556896,224.797183458798,654.31479136507,"Log Inhibition","Reduced defense","Strong effect","LE19-195","Shared gene ANI"
"Novel-T3PKS (ctg30)",-368.91817864961,134.220565576128,-2.74859651399968,0.0156881552765042,-656.792660942087,-81.0436963571328,"Log Inhibition","Stronger defense","Strong effect","LE19-195","Shared gene ANI"
"Core Genes",297.321404060119,89.1814025197364,3.33389468722832,0.00491909502832539,106.046319125949,488.596488994289,"Log Inhibition","Reduced defense","Strong effect","LE19-195","Shared gene ANI"
"1-Heptadecene",-83.1362650405337,28.6126675130297,-2.90557547641006,0.0103208634920648,-143.792410526261,-22.4801195548063,"Unpalatability","Stronger defense","Strong effect","LE19-195","Shared gene ANI"
"Lanthipeptide (ctg83)",428.100243707339,62.2964372809839,6.87198598174115,3.75398542187018e-06,296.037696192776,560.162791221901,"Unpalatability","Reduced defense","Strong effect","LE19-195","Shared gene ANI"
"Novel-T3PKS (ctg30)",-579.40620740362,82.0753632636004,-7.05944127889814,2.70000646838276e-06,-753.398204921636,-405.414209885605,"Unpalatability","Stronger defense","Strong effect","LE19-195","Shared gene ANI"
"Core Genes",395.750324898633,55.5744311800453,7.12108637903131,2.42520642839507e-06,277.937793738848,513.562856058418,"Unpalatability","Reduced defense","Strong effect","LE19-195","Shared gene ANI"
