"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"Lanthipeptide (ctg83)",-7.64267782570123,3.15712802184305,-2.42076905745483,0.0308606068461966,-14.4632382485313,-0.822117402871121,"Log Inhibition","Stronger defense","Small effect","LE19-84","Gene content conservation"
"Novel-T3PKS (ctg30)",-4.82132993329829,2.83206330681899,-1.70240895452075,0.112454071661962,-10.9396307344684,1.29697086787183,"Log Inhibition","No significant effect","Small effect","LE19-84","Gene content conservation"
"NRPS-like (ctg36)",-3.99646627159721,1.60022055342104,-2.4974471569268,0.0267170799691502,-7.45353259863557,-0.539399944558849,"Log Inhibition","Stronger defense","Small effect","LE19-84","Gene content conservation"
"NRPS-T1PKS (ctg20)",2.50128924188244,0.579301437409033,4.31776805710967,0.000835328746598843,1.24978457386012,3.75279390990476,"Log Inhibition","Reduced defense","Small effect","LE19-84","Gene content conservation"
"Microcystin",-2.84244597101538,1.16370399058053,-2.44258505085765,0.0296227544168187,-5.35647559766622,-0.328416344364541,"Log Inhibition","Stronger defense","Small effect","LE19-84","Gene content conservation"
"Micropeptin",5.71965579151896,1.8120885312981,3.15638871541318,0.00757785557005745,1.80487652576685,9.63443505727107,"Log Inhibition","Reduced defense","Small effect","LE19-84","Gene content conservation"
"Core Genes",18.9607934333299,8.31449485643915,2.28045043754471,0.0400855188698325,0.998419351157668,36.9231675155021,"Log Inhibition","Reduced defense","Small effect","LE19-84","Gene content conservation"
"1-Heptadecene",4.6955005981747,2.93700803879904,1.59873603890261,0.14096280226263,-1.84856112166946,11.2395623180189,"Unpalatability","No significant effect","Small effect","LE19-84","Gene content conservation"
"Cyanobactin (ctg13)",-6.58129025429759,2.67579977017255,-2.45956006411989,0.0337018308376682,-12.543343682355,-0.619236826240186,"Unpalatability","Stronger defense","Small effect","LE19-84","Gene content conservation"
"Lanthipeptide (ctg83)",-8.17688701880927,3.29629905144148,-2.48062657277212,0.0325079239425232,-15.5214990030915,-0.832275034527012,"Unpalatability","Stronger defense","Small effect","LE19-84","Gene content conservation"
"LAP (ctg5)",5.59717842751101,2.84917968723239,1.96448769187595,0.0778540278136846,-0.751189529901575,11.9455463849236,"Unpalatability","No significant effect","Small effect","LE19-84","Gene content conservation"
"Novel-T3PKS (ctg30)",-3.90660813644372,2.45405133065751,-1.59190155790141,0.142491109490846,-9.37457525105033,1.56135897816289,"Unpalatability","No significant effect","Small effect","LE19-84","Gene content conservation"
"NRPS-like (ctg36)",-8.722415979583,2.01680838926055,-4.32486101606361,0.00150161489242426,-13.2161451087063,-4.22868685045971,"Unpalatability","Stronger defense","Small effect","LE19-84","Gene content conservation"
"NRPS-T1PKS (ctg20)",4.44758910744094,1.01783048098955,4.36967568815283,0.00139980489971194,2.17972146801224,6.71545674686964,"Unpalatability","Reduced defense","Small effect","LE19-84","Gene content conservation"
"Microcystin",-4.92340073990855,1.35921241546937,-3.62224526782914,0.00467224060990524,-7.95191473091798,-1.89488674889913,"Unpalatability","Stronger defense","Small effect","LE19-84","Gene content conservation"
"Micropeptin",8.7785387344578,2.07705693163912,4.22643144765905,0.00175367085677,4.15056748728528,13.4065099816303,"Unpalatability","Reduced defense","Small effect","LE19-84","Gene content conservation"
"Core Genes",9.26431746334827,8.13910282763867,1.13824799361038,0.281552028993151,-8.87073376722479,27.3993686939213,"Unpalatability","No significant effect","Small effect","LE19-84","Gene content conservation"
