"cluster","median_presence","zero_count","total_count","zero_percentage"
"T3PKS-Merocyclophane",89.1891891891892,0,21,0
"Cyanobactin ctg13",84.6153846153846,0,21,0
"Microviridin",80,2,21,0.0952380952380952
"NRPS-like-1",80,0,21,0
"Novel-T3PKS",72.2222222222222,0,21,0
"T1PKS-Terpene",57.1428571428572,0,21,0
"Cyanobactin ctg39",57.1428571428571,0,21,0
"Cyanobactin ctg115",50,1,21,0.0476190476190476
"Lanthipeptide",46.8085106382979,0,21,0
"Cyanopeptolin",42.8571428571429,7,21,0.333333333333333
"LAP",42.4242424242424,0,21,0
"T1PKS",37.5,0,21,0
"1-heptadecene",33.3333333333333,0,21,0
"Anabaenopeptin",26.6666666666667,0,21,0
"Bartoloside-like-T1PKS",25,0,21,0
"Microcystin",23.5294117647059,0,21,0
"NRPS-T1PKS",20,0,21,0
"RiPP-like",18.1818181818182,0,21,0
