SampleID,Date,Treatment,lake,seqnames,seqlength,mapped,rpkm,rpkm_relative_abundance,TPM,TPM_relative_abundance
ND-1,18_06_28,control,LE,Microcystis_0824;63_2_149,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_LSC13-02;23_291_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_MC19;15_0_2257,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_M_OC_Ca_00000000_C217Col;71_55_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_M_OC_Ca_00000000_S217Cul;161_248_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M2Col;117_148_1,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M3Col;116_123_0,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M9Col;46_191_1,852,5,2.42E-05,0.42662116,4266.211604,0.42662116
ND-1,18_06_28,control,LE,Microcystis_Msp_OC_L_20101000_S702;109_17_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_T1-4;79_11_2,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_11-30S32;17_16_2,852,7,3.39E-05,0.597269625,5972.696246,0.597269625
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_BK11-02;54_136_4,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_BS11-05;26_150_8,852,9,4.35E-05,0.767918089,7679.180887,0.767918089
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_BS13-02;114_114_14,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_BS13-10;70_171_8,852,10,4.84E-05,0.853242321,8532.423208,0.853242321
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_CACIAM_03;110_1_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_CHAOHU_1326;141_171_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_DA14;3_8_418,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_DIANCHI905;7_154_11,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_EAWAG127a;155_0_451,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_F13-15;157_55_7,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FACHB-524;165_100_300,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FCY-26;121_1452_1,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_1,168,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_2,324,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_3,405,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FCY-28;138_1436_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_FD4;21_0_3140,852,34,0.000164481,2.901023891,29010.23891,2.901023891
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G11-01;175_26_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G11-04;104_157_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G11-06;113_21_15,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G11-09;30_136_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-01;125_64_1,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-03;72_47_17,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-05;53_122_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-07;177_159_8,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-09;95_154_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-10;122_47_1,852,4,1.94E-05,0.341296928,3412.969283,0.341296928
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-11;9_154_8,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_G13-12;147_97_10,852,0,0,0,0,0
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_K13-05;35_6_28,852,1,4.84E-06,0.085324232,853.2423208,0.085324232
ND-1,18_06_28,control,LE,Microcystis_aeruginosa_K13-06;75_16_9,852,2,9.68E-06,0.170648464,1706.484642,0.170648464
