sample	total_reads	exp_date	treatment	note	lake
ND1	242618892	18_06_28	control	whole_water	LE
ND2	274383310	18_06_28	control	whole_water	LE
ND3	265237644	18_06_28	control	whole_water	LE
ND4	260956210	18_06_28	quagga	whole_water	LE
ND5	249485190	18_06_28	quagga	whole_water	LE
ND6	245311682	18_06_28	quagga	whole_water	LE
ND7	227281518	18_06_28	quagga	whole_water	LE
ND8	260595106	18_07_10	control	whole_water	LE
ND9	268194382	18_07_10	control	whole_water	LE
ND10	249512054	18_07_10	control	whole_water	LE
ND11	259826744	18_07_10	quagga	whole_water	LE
ND12	264658188	18_07_10	quagga	whole_water	LE
ND13	252387610	18_07_10	quagga	whole_water	LE
ND14	246927376	18_07_10	quagga	whole_water	LE
ND15	259800788	18_07_25	control	whole_water	LE
ND16	262452050	18_07_25	control	whole_water	LE
ND17	266712778	18_07_25	control	whole_water	LE
ND18	268855750	18_07_25	quagga	whole_water	LE
ND19	273098984	18_07_25	quagga	whole_water	LE
ND20	243090428	18_07_25	quagga	whole_water	LE
ND21	243095526	18_07_25	quagga	whole_water	LE
ND22	308299568	18_08_15	control	whole_water	LE
ND23	284894732	18_08_15	control	whole_water	LE
ND24	291807480	18_08_15	control	whole_water	LE
ND25	277987290	18_08_15	quagga	whole_water	LE
ND26	292287968	18_08_15	quagga	whole_water	LE
ND27	284558640	18_08_15	quagga	whole_water	LE
ND28	311499154	18_08_15	quagga	whole_water	LE
ND29	313692430	18_10_4	control	whole_water	LE
ND30	311571866	18_10_4	control	whole_water	LE
ND31	321028646	18_10_4	control	whole_water	LE
ND32	254536194	18_10_4	quagga	whole_water	LE
ND33	300265076	18_10_4	quagga	whole_water	LE
ND34	NA	18_10_4	quagga	whole_water	LE
ND35	257916620	19_07_18	control	whole_water	LE
ND36	238669988	19_07_18	control	whole_water	LE
ND37	242516344	19_07_18	control	whole_water	LE
ND38	204963806	19_07_18	quagga	whole_water	LE
ND39	253031354	19_07_18	quagga	whole_water	LE
ND40	231309500	19_07_18	quagga	whole_water	LE
ND41	250558826	19_07_18	quagga	whole_water	LE
ND42	277543488	19_07_31	control	whole_water	LE
ND43	257560138	19_07_31	control	whole_water	LE
ND44	256163066	19_07_31	control	whole_water	LE
ND45	272566052	19_07_31	quagga	whole_water	LE
ND46	293776220	19_07_31	quagga	whole_water	LE
ND47	298585940	19_07_31	quagga	whole_water	LE
ND48	267546328	19_07_31	quagga	whole_water	LE
ND49	297450060	19_08_13	control	whole_water	LE
ND50	303270436	19_08_13	control	whole_water	LE
ND51	285210902	19_08_13	control	diluted	LE
ND52	269491288	19_08_13	control	diluted	LE
ND53	262086364	19_08_13	quagga	whole_water	LE
ND54	272655302	19_08_13	quagga	whole_water	LE
ND55	284880744	19_08_13	quagga	diluted	LE
ND56	253806360	19_08_13	quagga	diluted	LE
ND57	353625538	19_09_18	control	whole_water	LE
ND58	295529210	19_09_18	control	whole_water	LE
ND59	267389048	19_09_18	control	whole_water	LE
ND60	240849584	19_09_18	quagga	whole_water	LE
ND61	243109628	19_09_18	quagga	whole_water	LE
ND62	237738014	19_09_18	quagga	whole_water	LE
ND63	227683346	19_09_18	quagga	whole_water	LE
ND64	261199346	19_06_12	control	NA	LH
ND65	271458044	19_06_12	control	NA	LH
ND66	287817726	19_06_12	control	NA	LH
ND67	274657602	19_06_12	quagga	NA	LH
ND68	272482332	19_06_12	quagga	NA	LH
ND69	302439796	19_06_12	quagga	NA	LH
ND70	283798194	19_06_12	quagga	NA	LH
ND71	316891682	19_08_22	control	NA	LH
ND72	379240650	19_08_22	control	NA	LH
ND73	424955584	19_08_22	control	NA	LH
ND74	375247096	19_08_22	quagga	NA	LH
ND75	427366132	19_08_22	quagga	NA	LH
ND76	380722692	19_08_22	quagga	NA	LH
