Tank,TimePoint,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,ExperimentDate,WaterLocation,ExperimentJD,InitialFinal
C1,0,6/29/18 9:26,0.33,4.15,1.54,0,1.82,6.02,94.98,-0.01,24.42,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:26,0,1.15,1.64,0,1.84,2.79,95.48,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:26,0,1.6,0,1.36,1.92,2.96,94.95,-0.01,24.41,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:26,2.07,6.62,0.27,0,1.88,8.95,94.97,-0.01,24.42,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:26,0,2.08,1.13,0,1.99,3.21,92.54,-0.02,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:26,1.04,1.43,0.9,0,1.84,3.37,95.62,-0.01,24.42,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.23,0.65,0.63,1.95,2.51,94.83,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.61,1.89,0,1.88,3.5,93.25,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.45,0,1.29,1.97,2.73,95.44,-0.01,24.42,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0.38,2.89,1.12,0,1.87,4.39,94.95,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,3.5,1.17,0,1.94,4.67,93.93,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0.22,1.37,0.93,0.4,1.9,2.92,94.97,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,1.18,1.85,1.01,0,1.86,4.03,93.54,-0.02,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.15,1.32,0.18,1.84,2.65,94.78,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.75,1.61,0,1.92,3.37,95,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0.06,1.17,1.63,0,1.86,2.87,94.6,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,1.57,2.52,0.78,0,1.85,4.87,94.64,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.92,1.2,0.46,1.85,3.57,94.64,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,1.23,1.58,0,1.87,2.81,94.76,-0.02,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,2.36,0,1.27,1.89,3.63,94.56,-0.01,24.43,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0.53,2.6,1.25,0,1.77,4.38,94.85,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,2.63,6.78,0.25,0,1.68,9.66,94.49,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,2.59,1.76,0.07,1.8,4.42,94.32,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,2.78,0,1.47,1.96,4.25,94.91,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,1.44,5.65,1.03,0,1.78,8.13,92.65,-0.01,24.44,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0.25,0.94,1.38,0,1.86,2.57,95.05,-0.01,24.45,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,2.25,0,1.34,1.98,3.6,94.59,-0.01,24.45,6/28/18,WE4,180,Initial
C1,0,6/29/18 9:27,0,3.53,0,1.18,1.98,4.71,93.79,-0.01,24.45,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:35,0.52,0.83,1.23,0,1.83,2.58,94.13,0.01,24.67,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:35,0,0.95,1.54,0,1.83,2.49,94.52,-0.01,24.68,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:35,0,1.42,1.36,0,1.87,2.78,93.45,-0.01,24.67,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:35,0.35,0.89,1.36,0,1.86,2.61,94.24,0.03,24.68,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:36,0.95,1.24,1,0,1.82,3.2,93.88,0.03,24.67,6/28/18,WE4,180,Initial
C2,0,6/29/18 9:36,0.13,2.25,1.56,0,1.82,3.94,93.27,0,24.68,6/28/18,WE4,180,Initial
