Year,Month,Date,lake,Treatment,SampleID,count,Rep
18,6,28,LE,control,ND-1,183,R1
18,6,28,LE,control,ND-2,183,R2
18,6,28,LE,control,ND-3,183,R3
18,6,28,LE,quagga,ND-4,183,R1
18,6,28,LE,quagga,ND-5,183,R2
18,6,28,LE,quagga,ND-6,183,R3
18,6,28,LE,quagga,ND-7,183,R4
18,7,10,LE,control,ND-10,183,R1
18,7,10,LE,control,ND-8,183,R2
18,7,10,LE,control,ND-9,183,R3
18,7,10,LE,quagga,ND-11,183,R1
18,7,10,LE,quagga,ND-12,183,R2
18,7,10,LE,quagga,ND-13,183,R3
18,7,10,LE,quagga,ND-14,183,R4
18,7,25,LE,control,ND-15,183,R1
18,7,25,LE,control,ND-16,183,R2
18,7,25,LE,control,ND-17,183,R3
18,7,25,LE,quagga,ND-18,183,R1
18,7,25,LE,quagga,ND-19,183,R2
18,7,25,LE,quagga,ND-20,183,R3
18,7,25,LE,quagga,ND-21,183,R4
18,8,15,LE,control,ND-22,183,R1
18,8,15,LE,control,ND-23,183,R2
18,8,15,LE,control,ND-24,183,R3
18,8,15,LE,quagga,ND-25,183,R1
18,8,15,LE,quagga,ND-26,183,R2
18,8,15,LE,quagga,ND-27,183,R3
18,8,15,LE,quagga,ND-28,183,R4
18,10,4,LE,control,ND-29,183,R1
18,10,4,LE,control,ND-30,183,R2
18,10,4,LE,control,ND-31,183,R3
18,10,4,LE,quagga,ND-32,183,R1
18,10,4,LE,quagga,ND-33,183,R2
19,6,12,LH,control,ND-64,183,R1
19,6,12,LH,control,ND-65,183,R2
19,6,12,LH,control,ND-66,183,R3
19,6,12,LH,quagga,ND-67,183,R1
19,6,12,LH,quagga,ND-68,183,R2
19,6,12,LH,quagga,ND-69,183,R3
19,6,12,LH,quagga,ND-70,183,R4
19,7,18,LE,control,ND-35,183,R1
19,7,18,LE,control,ND-36,183,R2
19,7,18,LE,control,ND-37,183,R3
19,7,18,LE,quagga,ND-38,183,R1
19,7,18,LE,quagga,ND-39,183,R2
19,7,18,LE,quagga,ND-40,183,R3
19,7,18,LE,quagga,ND-41,183,R4
19,7,31,LE,control,ND-42,183,R1
19,7,31,LE,control,ND-43,183,R2
19,7,31,LE,control,ND-44,183,R3
19,7,31,LE,quagga,ND-45,183,R1
19,7,31,LE,quagga,ND-46,183,R2
19,7,31,LE,quagga,ND-47,183,R3
19,7,31,LE,quagga,ND-48,183,R4
19,8,13,LE,control,ND-49,183,R1
19,8,13,LE,control,ND-50,183,R2
19,8,13,LE,control,ND-51,183,R3
19,8,13,LE,control,ND-52,183,R4
19,8,13,LE,quagga,ND-53,183,R1
19,8,13,LE,quagga,ND-54,183,R2
19,8,13,LE,quagga,ND-55,183,R3
19,8,13,LE,quagga,ND-56,183,R4
19,8,22,LH,control,ND-71,183,R1
19,8,22,LH,control,ND-72,183,R2
19,8,22,LH,control,ND-73,183,R3
19,8,22,LH,quagga,ND-74,183,R1
19,8,22,LH,quagga,ND-75,183,R2
19,8,22,LH,quagga,ND-76,183,R4
19,9,18,LE,control,ND-57,183,R1
19,9,18,LE,control,ND-58,183,R2
19,9,18,LE,control,ND-59,183,R3
19,9,18,LE,quagga,ND-60,183,R1
19,9,18,LE,quagga,ND-61,183,R2
19,9,18,LE,quagga,ND-62,183,R3
19,9,18,LE,quagga,ND-63,183,R4
