sample	total_reads	LE18-22	LE19-4	LE19-114	LE19-114-id95	LE17-10	LE19-195	exp_date	treatment	note	lake
ND1	242618892	949843	802295	841441	841464	802842	765006	18_06_28	control	whole_water	LE
ND2	274383310	1127042	1022156	1053296	1053302	1024302	949663	18_06_28	control	whole_water	LE
ND3	265237644	1730094	1572177	1602267	1602239	1578091	1476957	18_06_28	control	whole_water	LE
ND4	260956210	1851572	1717356	1790651	1790705	1720265	1588768	18_06_28	quagga	whole_water	LE
ND5	249485190	1309875	1117474	1160717	1160686	1119433	1078017	18_06_28	quagga	whole_water	LE
ND6	245311682	1926794	1612437	1683152	1683183	1611259	1546607	18_06_28	quagga	whole_water	LE
ND7	227281518	1345738	1161360	1207330	1207282	1165662	1101535	18_06_28	quagga	whole_water	LE
ND8	260595106	217328	208577	214684	214648	209185	185131	18_07_10	control	whole_water	LE
ND9	268194382	284632	266802	274909	274907	267496	237792	18_07_10	control	whole_water	LE
ND10	249512054	307436	273546	283071	283103	274739	254582	18_07_10	control	whole_water	LE
ND11	259826744	549843	504408	521268	521255	505910	464302	18_07_10	quagga	whole_water	LE
ND12	264658188	493372	440911	460171	460156	441764	413193	18_07_10	quagga	whole_water	LE
ND13	252387610	358235	328538	336957	336932	329375	299069	18_07_10	quagga	whole_water	LE
ND14	246927376	502310	459387	472833	472891	461153	416014	18_07_10	quagga	whole_water	LE
ND15	259800788	595849	509306	537192	537129	512093	503854	18_07_25	control	whole_water	LE
ND16	262452050	665130	577259	601579	601541	581547	570584	18_07_25	control	whole_water	LE
ND17	266712778	635470	540627	566789	566775	543582	533928	18_07_25	control	whole_water	LE
ND18	268855750	1131560	973185	1016354	1016330	978979	949882	18_07_25	quagga	whole_water	LE
ND19	273098984	768723	655721	690569	690545	660028	651046	18_07_25	quagga	whole_water	LE
ND20	243090428	893189	754439	790964	790911	759084	748459	18_07_25	quagga	whole_water	LE
ND21	243095526	904247	767396	808400	808386	772344	760055	18_07_25	quagga	whole_water	LE
ND22	308299568	612068	515613	545765	545737	516178	514505	18_08_15	control	whole_water	LE
ND23	284894732	530658	438688	470901	470927	438459	451085	18_08_15	control	whole_water	LE
ND24	291807480	705502	582600	628301	628333	582888	598773	18_08_15	control	whole_water	LE
ND25	277987290	661587	546548	586214	586257	546830	555764	18_08_15	quagga	whole_water	LE
ND26	292287968	791953	652915	699513	699525	653323	670252	18_08_15	quagga	whole_water	LE
ND27	284558640	901520	742345	799368	799345	743550	760778	18_08_15	quagga	whole_water	LE
ND28	311499154	952252	784760	843288	843348	784678	793730	18_08_15	quagga	whole_water	LE
ND29	313692430	641295	626099	663494	663488	621504	581687	18_10_4	control	whole_water	LE
ND30	311571866	478233	450700	471050	471065	451037	419735	18_10_4	control	whole_water	LE
ND31	321028646	601286	566075	595279	595330	567243	524822	18_10_4	control	whole_water	LE
ND32	254536194	676542	615130	649968	649959	616125	599837	18_10_4	quagga	whole_water	LE
ND33	300265076	615727	567320	597487	597464	567670	538326	18_10_4	quagga	whole_water	LE
ND34	NA	NA	NA	NA	NA	NA	NA	18_10_4	quagga	whole_water	LE
ND35	257916620	370597	352323	365842	365868	350875	326505	19_07_18	control	whole_water	LE
ND36	238669988	292168	280173	291990	291948	279704	258772	19_07_18	control	whole_water	LE
ND37	242516344	313813	302430	314999	315022	300697	276759	19_07_18	control	whole_water	LE
ND38	204963806	317007	293275	309190	309125	292626	274986	19_07_18	quagga	whole_water	LE
ND39	253031354	608541	580690	608597	608585	579655	525569	19_07_18	quagga	whole_water	LE
ND40	231309500	591809	563205	592718	592695	563012	524440	19_07_18	quagga	whole_water	LE
ND41	250558826	716343	678473	706891	706833	679657	628938	19_07_18	quagga	whole_water	LE
ND42	277543488	6538021	5625200	5828315	5828323	5644981	5442825	19_07_31	control	whole_water	LE
ND43	257560138	5564490	4762728	4947785	4947844	4771345	4623663	19_07_31	control	whole_water	LE
ND44	256163066	5711173	4952501	5133429	5133279	4967592	4742575	19_07_31	control	whole_water	LE
ND45	272566052	7115719	6096761	6319778	6319775	6127321	5895603	19_07_31	quagga	whole_water	LE
ND46	293776220	7591057	6528904	6772516	6772555	6554762	6296113	19_07_31	quagga	whole_water	LE
ND47	298585940	6967735	6034650	6243611	6243776	6043954	5738560	19_07_31	quagga	whole_water	LE
ND48	267546328	5654807	4846852	5046588	5046630	4848013	4718221	19_07_31	quagga	whole_water	LE
ND49	297450060	821054	671736	722632	722578	672052	689299	19_08_13	control	whole_water	LE
ND50	303270436	1263849	1034500	1110548	1110469	1035079	1059493	19_08_13	control	whole_water	LE
ND51	285210902	1234708	1011551	1087524	1087424	1012536	1038673	19_08_13	control	diluted	LE
ND52	269491288	828543	664794	725051	725139	662792	681803	19_08_13	control	diluted	LE
ND53	262086364	1499005	1232689	1325189	1325278	1232383	1248668	19_08_13	quagga	whole_water	LE
ND54	272655302	1657822	1313385	1442658	1442694	1304909	1344032	19_08_13	quagga	whole_water	LE
ND55	284880744	847494	668100	731476	731435	663674	683798	19_08_13	quagga	diluted	LE
ND56	253806360	532218	420809	460196	460213	418810	435309	19_08_13	quagga	diluted	LE
ND57	353625538	416518	331784	359675	359697	332095	356005	19_09_18	control	whole_water	LE
ND58	295529210	335381	271367	292155	292187	271702	279060	19_09_18	control	whole_water	LE
ND59	267389048	280635	229039	247183	247202	228927	235862	19_09_18	control	whole_water	LE
