"seqnames","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","contrast","lake","Date","Year","Month","Day","Clade","sample_date","Year_lake","sig_label","strain_clade"
"NIES-2520",-2.57522011220063,2.11390555809893,-4.77355543931158,1.42247604956339e-05,0.00258890641020537,3.00694879453,"Decreased","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_2","06/28","2018 Lake Erie","2018 Lake Erie","NIES-2520 (Mae3_2)"
"F13-15",1.81664599113186,1.40698658172397,4.24915191237588,8.53960088508133e-05,0.00777103680542401,1.38517340463416,"Increased","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae4","06/28","2018 Lake Erie","2018 Lake Erie","F13-15 (Mae4)"
"LE17-10A",-1.69220611935921,1.13435182819568,-3.4710992710898,0.00102785487799343,0.0623565292649348,-0.846249292411253,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae5","06/28","2018 Lake Erie","No change","LE17-10A (Mae5)"
"FCY-27",0.621832320064462,0.0672416368619685,3.01656026416586,0.00389405567183859,0.14920948687707,-2.02231380919878,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Unclassified","06/28","2018 Lake Erie","No change","FCY-27 (Unclassified)"
"LE18-22",-1.83555465722177,2.37538675014286,-2.99830246669386,0.00409916172739203,0.14920948687707,-2.06723335356041,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","LE18-22 (Mae3_1)"
"LG11-05",0.187912502510712,0.0100220001339047,2.77652869139108,0.00753752579930426,0.185319323394913,-2.5973159574125,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae10","06/28","2018 Lake Erie","No change","LG11-05 (Mae10)"
"NIES-2481",0.187912502510712,0.0102832125020514,2.77558007570792,0.00755674761884845,0.185319323394913,-2.59951993044922,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae4","06/28","2018 Lake Erie","No change","NIES-2481 (Mfl_ae4)"
"Mv_BB_P_19951000_S68",0.00375393260485428,0.000200209738925561,2.7475320956239,0.00814590432505113,0.185319323394913,-2.66443453636691,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mvi","06/28","2018 Lake Erie","No change","Mv_BB_P_19951000_S68 (Mvi)"
"Ma_QC_Ch_20071001_S25",0.0383691325335769,0.00284874706007544,2.66704591472795,0.0100789182924114,0.201722597286184,-2.84798646492123,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(LL/LG)","06/28","2018 Lake Erie","No change","Ma_QC_Ch_20071001_S25 (Mae2_(LL/LG))"
"LE19-338",-1.10369383843206,0.859899611526082,-2.62114628041152,0.0113610567577668,0.201722597286184,-2.95082222265621,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae3","06/28","2018 Lake Erie","No change","LE19-338 (Mfl_ae3)"
"FD4",-1.17972630352398,1.73455209737951,-2.59386295227489,0.0121920251107034,0.201722597286184,-3.01130560290011,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mvi","06/28","2018 Lake Erie","No change","FD4 (Mvi)"
"NIES-3804",0.310831172561922,0.0375041297968267,2.54694609268313,0.0137513338625422,0.208561896915223,-3.11417810494941,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae3","06/28","2018 Lake Erie","No change","NIES-3804 (Mfl_ae3)"
"L211-101",-0.982463486088061,1.6167805291691,-2.42987264736066,0.0184610008775164,0.25845401228523,-3.3644963610005,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae3_1","06/28","2018 Lake Erie","No change","L211-101 (Mae3_1)"
"W13-15",-0.15130791907121,0.0310915074799987,-2.34920009415995,0.0225041104632899,0.292553436022769,-3.53155407284448,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae2_(HL/LG)","06/28","2018 Lake Erie","No change","W13-15 (Mae2_(HL/LG))"
"NIES-87",-0.593038265265391,0.746447175377667,-2.20181196954083,0.0319729611471081,0.387938595251578,-3.82495309932846,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mfl_ae6","06/28","2018 Lake Erie","No change","NIES-87 (Mfl_ae6)"
"Ma_QC_B_20070730_S2",0.930306027460252,0.435470995302504,2.15776990979223,0.0354143803436931,0.402838576409509,-3.90959018048454,"Not Significant","logqc_LE_18_06_28","Lake Erie","18_06_28","2018","06","28","Mae1","06/28","2018 Lake Erie","No change","Ma_QC_B_20070730_S2 (Mae1)"
