gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,significant,contrast,lake,date,Year,Month,Date,New_BGC_name,short_product_name,rest,Gene,sig_name,Year_lake
group_6954,-0.0822574219660475,0.0476213303330174,-5.43775195024831,1.29926839690013e-06,0.00155759352522498,5.07576457399988,Decreased,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,RiPP-like-Microcystis aeruginosa WLECC,RiPP-like,NA,ctg109_3,RiPP-like (ctg109_3),2018 Lake Erie
group_7540,-0.0415181826480865,0.0200676304726104,-4.28932471801031,7.36150638969701e-05,0.0277828704114861,1.50129380378266,Decreased,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,LAP-Microcystis aeruginosa WLECC,LAP_ctg5,NA,ctg5_8,LAP_ctg5 (ctg5_8),2018 Lake Erie
group_11628,-0.0684595317366233,0.0498811801769854,-4.13738807618593,0.00012224243553727,0.0371006646053977,1.05374094013045,Decreased,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,RiPP-like-Microcystis aeruginosa WLECC,RiPP-like,NA,ctg109_4,RiPP-like (ctg109_4),2018 Lake Erie
group_9925,-0.0188507964296723,0.0148787610551913,-3.85584742575397,0.000306195718127143,0.0749049692001204,0.245581455688696,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,LAP-Microcystis aeruginosa WLECC,LAP_ctg5,NA,ctg5_7,NA,2018 Lake Erie
group_13559,-0.0463484470050894,0.0334969489540318,-3.2464974531584,0.00199877151424133,0.286865939860833,-1.39172719213392,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,T1PKS-Microcystis aeruginosa WLECC,T1PKS,NA,ctg75_12,NA,2018 Lake Erie
group_3901,-0.0582511610172636,0.0516305444437205,-3.22229695187138,0.00214579631513063,0.30159537174043,-1.45314318243845,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,RiPP-like-Microcystis aeruginosa WLECC,RiPP-like,NA,ctg109_2,NA,2018 Lake Erie
group_3567,-0.0505107814737718,0.0289490227921789,-3.10867685586653,0.00298267091927675,0.364487797537094,-1.7374163861004,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,Kasumigamide-Microcystis,kasumigamide,NA,makasA,NA,2018 Lake Erie
group_7269,-0.0516332774731243,0.0306466245002392,-3.00887041396163,0.00396143830171231,0.441170014146978,-1.98142174556507,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,Kasumigamide-Microcystis,kasumigamide,NA,makasD,NA,2018 Lake Erie
group_261,-0.0517446930858043,0.0290760981166378,-2.91904296514361,0.00509110678760618,0.51878378165707,-2.19629568979391,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,Kasumigamide-Microcystis,kasumigamide,NA,makasB,NA,2018 Lake Erie
group_7434,-0.0715082101091896,0.0538721339833952,-2.88046412846645,0.00566269199447483,0.557515279456024,-2.28716466779933,Not Significant,logqc_LE_18_06_28,Lake Erie,18_06_28,2018,06,28,NRPS-like-1-Microcystis aeruginosa WLECC,NRPS-like,NA,ctg36_2,NA,2018 Lake Erie
