Treatment	Culture	NPratio	GROUP	NOTE	REP	exp_date	start_time	m1_body_length	m2_body_length	volume_ml	mussel_batch
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X072525				1000	
CHLAMY_5	CHLAMY	5	CONTROL	NEW	R1	X072525				1000	
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X072525				1000	
MIX1_5	LE19-195	5	CONTROL	NEW	R1	X072525				1000	
MIX2_20	LE19-131	20	CONTROL	NEW	R1	X072525				1000	
MIX2_5	LE19-131	5	CONTROL	NEW	R1	X072525				1000	
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X081525				1500	
CHLAMY_80	CHLAMY	80	CONTROL	NEW	R1	X081525				1500	
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X081525				1500	
MIX1_80	LE19-195	80	CONTROL	NEW	R1	X081525				1500	
MIX2_20	LE19-131	20	CONTROL	NEW	R1	X081525				1500	
MIX2_80	LE19-131	80	CONTROL	NEW	R1	X081525				1500	
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X082925				1000	
CHLAMY_80	CHLAMY	80	CONTROL	NEW	R1	X082925				1000	
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X082925				1000	
MIX1_80	LE19-195	80	CONTROL	NEW	R1	X082925				1000	
MIX2_20	LE19-131	20	CONTROL	NEW	R1	X082925				1000	
MIX2_80	LE19-131	80	CONTROL	NEW	R1	X082925				1000	
CHLAMY_20	CHLAMY	20	CONTROL	NEW	R1	X090525				1000	
CHLAMY_5	CHLAMY	5	CONTROL	NEW	R1	X090525				1000	
MIX1_20	LE19-195	20	CONTROL	NEW	R1	X090525				1000	
MIX1_5	LE19-195	5	CONTROL	NEW	R1	X090525				1000	
MIX2_20	LE19-131	20	CONTROL	NEW	R1	X090525				1000	
MIX2_5	LE19-131	5	CONTROL	NEW	R1	X090525				1000	
CHLAMY_80	CHLAMY	80	CONTROL	NEW	R1	X091225				1500	
CHLAMY_5	CHLAMY	5	CONTROL	NEW	R1	X091225				1500	
MIX1_80	LE19-195	80	CONTROL	NEW	R1	X091225				1500	
MIX1_5	LE19-195	5	CONTROL	NEW	R1	X091225				1500	
MIX2_80	LE19-131	80	CONTROL	NEW	R1	X091225				1500	
MIX2_5	LE19-131	5	CONTROL	NEW	R1	X091225				1500	
CHLAMY_Q_20	CHLAMY	20	QUAGGA	NEW	R1	X072525	7/25/25 14:24	21.49	18	1500	LE2025
CHLAMY_Q_5	CHLAMY	5	QUAGGA	NEW	R1	X072525	7/25/25 14:27	19.02	21.46	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X072525	7/25/25 14:22	20.09	19.28	1500	LE2025
MIX1_Q1_5	LE19-195	5	QUAGGA	NEW	R1	X072525	7/25/25 14:30	21.61	18.71	1500	LE2025
MIX1_Q2_20	LE19-195	20	QUAGGA	NEW	R2	X072525	7/25/25 14:29	20.27	20.28	1500	LE2025
MIX2_Q1_20	LE19-131	20	QUAGGA	NEW	R1	X072525	7/25/25 14:31	19.98	24.17	1500	LE2025
MIX2_Q1_5	LE19-131	5	QUAGGA	NEW	R1	X072525	7/25/25 14:25	19.48	19.72	1500	LE2025
MIX2_Q2_20	LE19-131	20	QUAGGA	NEW	R2	X072525	7/25/25 14:33	19.14	20.32	1500	LE2025
MIX2_Q2_5	LE19-131	5	QUAGGA	NEW	R2	X072525	7/25/25 14:28	18.99	19.1	1500	LE2025
CHLAMY_Q_20	CHLAMY	20	QUAGGA	NEW	R1	X081525	8/15/25 14:24	19.38	19.32	1500	LE2025
CHLAMY_Q_80	CHLAMY	80	QUAGGA	NEW	R1	X081525	8/15/25 14:11	20.68	16.87	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X081525	8/15/25 14:16	20.66	21.56	1500	LE2025
MIX1_Q1_80	LE19-195	80	QUAGGA	NEW	R1	X081525	8/15/25 14:07	20.19	18.72	1500	LE2025
MIX1_Q2_80	LE19-195	80	QUAGGA	NEW	R2	X081525	8/15/25 14:17	24.81	21.59	1500	LE2025
MIX2_Q1_20	LE19-131	20	QUAGGA	NEW	R1	X081525	8/15/25 14:14	23.06	16.93	1500	LE2025
MIX2_Q1_80	LE19-131	80	QUAGGA	NEW	R1	X081525	8/15/25 14:19	22.22	19.27	1500	LE2025
MIX2_Q2_20	LE19-131	20	QUAGGA	NEW	R2	X081525	8/15/25 14:09	20.68	16.87	1500	LE2025
MIX2_Q2_80	LE19-131	80	QUAGGA	NEW	R2	X081525	8/15/25 14:22	18.77	19.26	1500	LE2025
CHLAMY_Q_20	CHLAMY	20	QUAGGA	NEW	R1	X082925	8/29/25 14:11	21.32	18.95	1500	LE2025
CHLAMY_Q_80	CHLAMY	80	QUAGGA	NEW	R1	X082925	8/29/25 14:16	19.01	17.93	1500	LE2025
MIX1_Q1_20	LE19-195	20	QUAGGA	NEW	R1	X082925	8/29/25 14:15	25.33	22.34	1500	LE2025
MIX1_Q1_80	LE19-195	80	QUAGGA	NEW	R1	X082925	8/29/25 14:25	23.85	22.65	1500	LE2025
MIX1_Q2_20	LE19-195	20	QUAGGA	NEW	R2	X082925	8/29/25 14:18	17.75	20.6	1500	LE2025
MIX1_Q2_80	LE19-195	80	QUAGGA	NEW	R2	X082925	8/29/25 14:28	20.17	24.74	1500	LE2025
MIX2_Q1_20	LE19-131	20	QUAGGA	NEW	R1	X082925	8/29/25 14:21	22.64	23.48	1500	LE2025
MIX2_Q1_80	LE19-131	80	QUAGGA	NEW	R1	X082925	8/29/25 14:23	19.32	22.07	1500	LE2025
MIX2_Q2_80	LE19-131	80	QUAGGA	NEW	R2	X082925	8/29/25 14:27	19.33	20.46	1500	LE2025
CHLAMY_Q1_20	CHLAMY	20	QUAGGA	NEW	R1	X090525	9/5/25 14:59	24.04	19.66	1500	LE2025
CHLAMY_Q1_5	CHLAMY	5	QUAGGA	NEW	R1	X090525	9/5/25 15:05	22.6	19.08	1500	LE2025
MIX1_OQ1_5	LE19-195	5	QUAGGA	OLD	R1	X090525	9/5/25 15:12	23.24	18.41	1500	LE2025
