Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Treatment	Timepoint	Culture	NPratio	REP	GROUP	NOTE
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							
11/21/25 13:21	3	3.15	0	0	0.16	6.14	99.97	-0.33	23.67	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	2.88	3.14	0	0	0.18	6.02	100	-0.34	23.66	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	2.91	3.19	0	0	0.17	6.1	99.95	-0.34	23.67	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	3.05	3.17	0	0	0.15	6.21	100	-0.34	23.66	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	2.88	3.22	0	0	0.16	6.1	99.94	-0.33	23.66	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	2.99	3.19	0	0	0.15	6.17	100	-0.33	23.68	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:21	3.01	3.2	0	0	0.14	6.21	99.81	-0.34	23.7	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:22	2.91	3.22	0	0	0.15	6.13	99.83	-0.34	23.71	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
11/21/25 13:22	3.06	3.16	0	0	0.13	6.22	99.97	-0.33	23.7	MIX1_5	T0	LE19-195	5	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:26	2.81	0	0	0	0.03	2.81	100	-0.33	23.85	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.79	0	0	0	0.04	2.79	100	-0.33	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.83	0	0	0	0.01	2.83	100	-0.34	23.88	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.91	0	0	0	0	2.91	100	-0.33	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.79	0	0	0	0.03	2.79	100	-0.33	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.83	0	0	0	0.02	2.83	100	-0.34	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.83	0	0	0	0.03	2.83	100	-0.33	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:26	2.87	0	0	0	0.01	2.87	100	-0.34	23.86	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
11/21/25 13:27	2.83	0	0	0	0.02	2.83	100	-0.33	23.88	CHLAMY_5	T0	CHLAMY	5	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:28	2.77	2.66	0	0	0.21	5.43	99.81	-0.34	23.91	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.85	2.63	0	0	0.2	5.48	99.62	-0.34	23.92	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.73	2.64	0	0	0.22	5.37	99.85	-0.33	23.91	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.69	2.7	0	0	0.22	5.39	99.77	-0.34	23.92	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.91	2.64	0	0	0.17	5.56	99.82	-0.34	23.92	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.86	2.62	0	0	0.2	5.47	99.7	-0.34	23.92	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.81	2.62	0	0	0.19	5.43	99.78	-0.34	23.96	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.77	2.68	0	0	0.19	5.45	99.67	-0.33	23.96	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
11/21/25 13:28	2.67	2.67	0	0	0.22	5.34	99.58	-0.33	23.96	MIX3_5	T0	LE19-114	5	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 13:29	3.84	0	0	0.08	0.02	3.93	100	-0.34	23.97	CHLAMY_80	T0	CHLAMY	80	R1	CONTROL	NEW
11/21/25 13:29	3.62	0	0.13	0.01	0	3.76	100	-0.34	23.98	CHLAMY_80	T0	CHLAMY	80	R1	CONTROL	NEW
