mussel_length,wet_mass,gut_wet_mass,gut_dry_mass,dry_shell_mass,gut_pa_mass,capsule_mass,batch,DW,AFDW,combustion_efficiency,collection_site,collection_date,lake,collection_person,ash_date,notebook_ref
21.65,,,46.12,,31.21,29.52,LE2025,16.6,14.91,0.898192771,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
19.39,,,49.78,,31.48,29.81,LE2025,19.97,18.3,0.916374562,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.48,,,48.14,,30.78,29.45,LE2025,18.69,17.36,0.928838951,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
22.47,,,50.05,,31.3,29.25,LE2025,20.8,18.75,0.901442308,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
20.99,,,43.87,,31.71,29.6,LE2025,14.27,12.16,0.852137351,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.9,,,49.06,,30.92,29.54,LE2025,19.52,18.14,0.929303279,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
24.82,,,55.16,,31.82,29.42,LE2025,25.74,23.34,0.906759907,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.37,,,60,,31.75,29.54,LE2025,30.46,28.25,0.927445831,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.09,,,39.56,,30.33,29.49,LE2025,10.07,9.23,0.916583913,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.36,,,39.93,,30.68,29.6,LE2025,10.33,9.25,0.895450145,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
19.04,,,44.62,,31.14,29.63,LE2025,14.99,13.48,0.899266178,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
18.74,,,52.18,,31.21,29.65,LE2025,22.53,20.97,0.930758988,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
21.29,,,49.83,,30.96,29.41,LE2025,20.42,18.87,0.924094026,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
19.97,,,48.89,,30.84,29.56,LE2025,19.33,18.05,0.933781687,WE4,5/29/25,Erie,GLERL Coring Cruise,2/25/26,"#44 p. 81, #047, p.4-5"
