mussel_length,wet_mass,gut_wet_mass,gut_dry_mass,dry_shell_mass,gut_pa_mass,capsule_mass,batch
20.46,764.79,152.21,38.52,260.27,28.29,27.11,1
19.11,610.45,102.45,35.97,181.32,27.92,26.96,1
23.15,1164.65,213.03,47.14,360.36,34.17,27.05,1
22.48,906.07,368.03,42.93,320.51,28.7,27.03,1
19.07,568.19,95.92,34.53,181.72,30.13,26.95,1
18.42,524.72,87.62,34.35,145.61,28.03,26.79,1
20.82,953.31,303.33,41.88,291.92,28.73,27.13,1
20.01,726.97,175.15,36.41,233.63,27.93,27.04,1
21.09,740.36,226.1,44.23,267.74,28.56,26.86,1
20.91,979.85,225.65,39.59,243.49,28.01,26.84,1
22.12,877.62,191.58,41.82,296.57,28.65,26.80,1
18.41,607.62,156.63,38.7,202.84,28.21,26.94,1
22.08,878.37,313.48,45.43,282.74,30.22,26.98,1
18.35,651.32,149.59,36.26,206.08,28.05,26.89,1
22.28,1015.73,224.26,44.84,303.58,30.61,26.88,1
18.27,552.15,127.86,33.57,175.68,27.92,27.17,1
21.11,821.58,185.49,40.18,310.39,28.07,26.89,1
18.82,602.64,146.69,35.39,200.6,27.83,26.95,1
23.64,1270.2,338.5,51.31,375.63,29.51,26.93,1
19.57,677.05,169.11,39.28,219.9,28.91,27.12,1
23.88,1518.66,NA,53.59,387.7,34,27.01,2
20.72,968.45,NA,34.09,350.75,27.82,26.94,2
23.47,1486.56,NA,46.54,417.06,31.17,27.00,2
23.22,1222.45,NA,47.26,325.66,32.64,27.28,2
22.89,1070.52,NA,43.57,312.44,29.14,26.94,2
23.65,1475.98,NA,44.43,437.81,29.54,27.18,2
23.58,1338.23,NA,46.33,386.73,29.62,27.12,2
20.41,912.54,NA,40.64,265.49,28.65,26.27,2
21.38,1112.56,NA,50.12,310.66,30.25,26.72,2
22.9,1216,NA,45.09,388.72,32.79,26.83,2
22.48,1196.86,NA,39.46,376.5,28.25,26.88,2
21.21,943.66,NA,44.09,260.85,29.56,26.25,2
19.22,795.54,NA,42.66,259.85,28.93,26.62,2
20.68,852.38,NA,39.72,274.88,28.24,26.89,2
20.73,730.86,NA,33.82,196.52,29.94,26.56,2
21.86,1007.8,NA,49.09,309.59,30.47,26.92,2
19.97,743.18,NA,48.47,242.75,28.98,27.11,2
19.79,665.3,NA,41.88,186.93,29.18,27.15,2
20.24,781.31,NA,40.5,238.23,28.56,26.95,2
20.7,844.49,NA,39.41,251.87,28.48,27.06,2
19.23,608.41,NA,39.97,214.89,28.63,27.10,2
17.79,539.66,NA,37.28,174.46,28.5,27.11,2
18.94,588.82,NA,41.47,176.24,29.26,27.00,2
