Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00390|LE19-12	FKFHLE_04180	95.85	99.18	243
GMBOIL_00455|LE19-12	FKFHLE_03610	98.18	100.12	822
GMBOIL_00460|LE19-12	FKFHLE_03615	98.50	100.00	867
GMBOIL_00500|LE19-12	FKFHLE_03630	98.07	99.79	1872
GMBOIL_00505|LE19-12	FKFHLE_03635	98.86	100.00	876
GMBOIL_05495|LE19-12	FKFHLE_04125	96.42	100.00	783
GMBOIL_06615|LE19-12	FKFHLE_10510	96.67	100.00	780
GMBOIL_06620|LE19-12	FKFHLE_10515	97.63	100.00	465
GMBOIL_10285|LE19-12	FKFHLE_04185	95.09	100.00	693
GMBOIL_11975|LE19-12	FKFHLE_04115	96.75	87.51	1089
GMBOIL_11980|LE19-12	FKFHLE_04120	97.30	100.00	2820
GMBOIL_17905|LE19-12	FKFHLE_04140	96.55	100.04	2781
GMBOIL_17910|LE19-12	FKFHLE_04145	96.23	100.00	1431
GMBOIL_17915|LE19-12	FKFHLE_04150	97.64	100.00	933
GMBOIL_17920|LE19-12	FKFHLE_04155	95.58	100.00	339
GMBOIL_18635|LE19-12	FKFHLE_07135	94.24	100.00	1215
GMBOIL_24545|LE19-12	FKFHLE_04130	97.02	100.00	537
GMBOIL_24550|LE19-12	FKFHLE_04135	95.58	100.12	837
GMBOIL_00470|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00485|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00490|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_05500|LE19-12	Unmatched	0.0	0.0	0
