Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_14070|LE19-114	JGHBBJ_13915	99.17	100.00	240
OCDKLD_14075|LE19-114	JGHBBJ_13910	97.96	100.00	489
OCDKLD_14080|LE19-114	JGHBBJ_13905	98.05	100.00	513
OCDKLD_14085|LE19-114	JGHBBJ_13900	98.39	100.00	186
OCDKLD_14090|LE19-114	JGHBBJ_13895	97.93	100.00	1452
OCDKLD_16140|LE19-114	JGHBBJ_20790	96.74	100.00	276
OCDKLD_18205|LE19-114	JGHBBJ_20795	97.54	77.87	366
OCDKLD_14105|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_14110|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18200|LE19-114	Unmatched	0.0	0.0	0
