Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_10050|LE19-84	FKFHLE_05575	97.65	100.00	1236
FMDALA_10055|LE19-84	FKFHLE_05570	98.76	84.33	1149
FMDALA_10060|LE19-84	FKFHLE_02260	99.15	100.00	936
FMDALA_10065|LE19-84	FKFHLE_02255	96.65	100.00	1014
FMDALA_10070|LE19-84	FKFHLE_02250	98.58	100.00	1761
FMDALA_10075|LE19-84	FKFHLE_02245	98.33	100.04	7896
FMDALA_10080|LE19-84	FKFHLE_02240	99.21	100.00	756
FMDALA_10085|LE19-84	FKFHLE_02235	98.26	100.00	10464
FMDALA_10090|LE19-84	FKFHLE_02230	98.17	100.00	11721
FMDALA_10100|LE19-84	FKFHLE_02220	97.41	99.95	6378
FMDALA_10105|LE19-84	FKFHLE_02215	96.10	100.00	3876
FMDALA_10110|LE19-84	FKFHLE_02210	97.22	100.00	2052
FMDALA_10120|LE19-84	FKFHLE_16345	96.79	100.00	1527
FMDALA_10125|LE19-84	FKFHLE_16355	90.10	99.73	1824
FMDALA_10095|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10115|LE19-84	Unmatched	0.0	0.0	0
FMDALA_11045|LE19-84	Unmatched	0.0	0.0	0
