Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_07200|LE19-12	ALDGEK_08015	97.24	100.62	324
LE17-10A	GMBOIL_08810|LE19-12	ALDGEK_08010	96.55	100.0	1680
LE17-10A	GMBOIL_08815|LE19-12	ALDGEK_08005	97.62	100.0	210
LE17-10A	GMBOIL_08830|LE19-12	ALDGEK_04265	96.05	95.16	186
LE17-10A	GMBOIL_08825|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_07200|LE19-12	EIDGHK_09185	97.84	100.0	324
LE17-20C	GMBOIL_08810|LE19-12	EIDGHK_09180	96.79	100.0	1680
LE17-20C	GMBOIL_08815|LE19-12	EIDGHK_09175	96.19	100.0	210
LE17-20C	GMBOIL_08825|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_08830|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_07200|LE19-12	HENFNN_03105	96.63	100.62	324
LE18-22	GMBOIL_08810|LE19-12	HENFNN_03110	96.79	100.0	1680
LE18-22	GMBOIL_08815|LE19-12	HENFNN_03115	96.19	100.0	210
LE18-22	GMBOIL_08825|LE19-12	HENFNN_23035	95.99	84.46	354
LE18-22	GMBOIL_08830|LE19-12	HENFNN_19550	95.48	95.16	186
LE18-22	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_07200|LE19-12	PGKGJD_21025	96.93	100.62	324
LE19-10	GMBOIL_08810|LE19-12	PGKGJD_21030	96.61	100.0	1680
LE19-10	GMBOIL_08815|LE19-12	PGKGJD_21035	95.24	100.0	210
LE19-10	GMBOIL_08825|LE19-12	PGKGJD_14485	95.99	84.46	354
LE19-10	GMBOIL_08830|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_07200|LE19-12	OCDKLD_11560	96.32	100.62	324
LE19-114	GMBOIL_08810|LE19-12	OCDKLD_11555	95.77	100.0	1680
LE19-114	GMBOIL_08815|LE19-12	OCDKLD_11550	96.19	100.0	210
LE19-114	GMBOIL_08830|LE19-12	OCDKLD_04340	95.48	95.16	186
LE19-114	GMBOIL_08825|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE19-114	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE19-12	GMBOIL_07200|LE19-12	GMBOIL_07200	100.0	100.0	324
LE19-12	GMBOIL_08810|LE19-12	GMBOIL_08810	100.0	100.0	1680
LE19-12	GMBOIL_08815|LE19-12	GMBOIL_08815	100.0	100.0	210
LE19-12	GMBOIL_08825|LE19-12	GMBOIL_08825	100.0	100.0	354
LE19-12	GMBOIL_08830|LE19-12	GMBOIL_08830	100.0	100.0	186
LE19-12	GMBOIL_08835|LE19-12	GMBOIL_08835	100.0	100.0	759
LE19-12	GMBOIL_08840|LE19-12	GMBOIL_08840	100.0	100.0	1461
LE19-13	GMBOIL_07200|LE19-12	IDJNMB_05170	96.93	100.62	324
LE19-13	GMBOIL_08810|LE19-12	IDJNMB_05165	96.07	100.0	1680
LE19-13	GMBOIL_08815|LE19-12	IDJNMB_05160	96.19	100.0	210
LE19-13	GMBOIL_08825|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_08830|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE19-13	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_07200|LE19-12	FLBHPM_15730	96.63	100.62	324
LE19-131	GMBOIL_08810|LE19-12	FLBHPM_15735	95.95	100.0	1680
LE19-131	GMBOIL_08815|LE19-12	FLBHPM_15740	95.24	100.0	210
LE19-131	GMBOIL_08825|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_08830|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_08835|LE19-12	Unmatched	0.0	0.0	0
LE19-131	GMBOIL_08840|LE19-12	Unmatched	0.0	0.0	0
LE19-195	GMBOIL_07200|LE19-12	BHKFFO_02205	96.63	100.62	324
LE19-195	GMBOIL_08810|LE19-12	BHKFFO_02200	96.67	100.0	1680
LE19-195	GMBOIL_08815|LE19-12	BHKFFO_02195	97.62	100.0	210
LE19-195	GMBOIL_08825|LE19-12	BHKFFO_03180	95.99	84.46	354
LE19-195	GMBOIL_08830|LE19-12	Unmatched	0.0	0.0	0
