Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	OCDKLD_11690|LE19-114	ALDGEK_08865	98.53	100.0	543
LE17-10A	OCDKLD_11695|LE19-114	ALDGEK_08860	99.79	100.0	480
LE17-10A	OCDKLD_11700|LE19-114	ALDGEK_08855	100.0	100.0	159
LE17-10A	OCDKLD_11705|LE19-114	ALDGEK_08850	98.46	100.0	975
LE17-10A	OCDKLD_11710|LE19-114	ALDGEK_08845	98.37	100.0	981
LE17-10A	OCDKLD_11715|LE19-114	ALDGEK_08840	95.33	100.0	150
LE17-10A	OCDKLD_11720|LE19-114	ALDGEK_08835	98.75	100.0	1281
LE17-10A	OCDKLD_11725|LE19-114	ALDGEK_08830	98.59	100.0	1062
LE17-10A	OCDKLD_11730|LE19-114	ALDGEK_08825	98.23	100.0	792
LE17-10A	OCDKLD_11735|LE19-114	ALDGEK_08820	96.71	100.0	1278
LE17-10A	OCDKLD_11740|LE19-114	ALDGEK_08815	97.3	98.21	1170
LE17-10A	OCDKLD_11745|LE19-114	ALDGEK_08810	94.61	95.98	174
LE17-10A	OCDKLD_11750|LE19-114	ALDGEK_08810	97.74	100.17	1149
LE17-10A	OCDKLD_11755|LE19-114	ALDGEK_08805	100.0	100.0	177
LE17-10A	OCDKLD_20945|LE19-114	ALDGEK_08870	98.98	100.0	2064
LE17-20C	OCDKLD_11720|LE19-114	EIDGHK_09725	97.42	100.0	1281
LE17-20C	OCDKLD_11725|LE19-114	EIDGHK_09730	98.49	100.0	1062
LE17-20C	OCDKLD_11730|LE19-114	EIDGHK_09735	95.33	100.0	792
LE17-20C	OCDKLD_11735|LE19-114	EIDGHK_09740	96.01	100.0	1278
LE17-20C	OCDKLD_11740|LE19-114	EIDGHK_09745	97.01	100.0	1170
LE17-20C	OCDKLD_11745|LE19-114	EIDGHK_09750	92.9	97.13	174
LE17-20C	OCDKLD_11750|LE19-114	EIDGHK_09750	96.06	99.3	1149
LE17-20C	OCDKLD_11755|LE19-114	EIDGHK_09755	98.31	100.0	177
LE17-20C	OCDKLD_11690|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_11695|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_11700|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_11705|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_11710|LE19-114	Unmatched	0.0	0.0	0
