Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_00390|LE19-12	ALDGEK_06300	96.71	100.00	243
GMBOIL_00455|LE19-12	ALDGEK_03365	99.03	100.12	822
GMBOIL_00460|LE19-12	ALDGEK_03370	98.73	100.00	867
GMBOIL_00490|LE19-12	ALDGEK_03375	100.00	80.12	171
GMBOIL_00500|LE19-12	ALDGEK_03385	97.60	100.00	1872
GMBOIL_00505|LE19-12	ALDGEK_03390	97.95	100.00	876
GMBOIL_05495|LE19-12	ALDGEK_06265	95.40	100.00	783
GMBOIL_05500|LE19-12	ALDGEK_06260	92.65	100.00	381
GMBOIL_06615|LE19-12	ALDGEK_08125	97.05	100.00	780
GMBOIL_06620|LE19-12	ALDGEK_08120	95.27	100.00	465
GMBOIL_10285|LE19-12	ALDGEK_06305	97.98	100.00	693
GMBOIL_11975|LE19-12	ALDGEK_06245	96.75	87.51	1089
GMBOIL_11980|LE19-12	ALDGEK_06250	97.48	100.00	2820
GMBOIL_17905|LE19-12	ALDGEK_06280	97.09	100.04	2781
GMBOIL_17910|LE19-12	ALDGEK_06285	96.86	100.00	1431
GMBOIL_17915|LE19-12	ALDGEK_06290	97.64	100.00	933
GMBOIL_17920|LE19-12	ALDGEK_06295	95.17	97.64	339
GMBOIL_18635|LE19-12	ALDGEK_07295	95.80	100.00	1215
GMBOIL_24545|LE19-12	ALDGEK_06270	97.39	100.00	537
GMBOIL_24550|LE19-12	ALDGEK_06275	95.70	100.12	837
GMBOIL_00470|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_00485|LE19-12	Unmatched	0.0	0.0	0
