Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_15350|LE19-84	ALDGEK_10090	96.77	100.0	744
LE17-10A	FMDALA_15355|LE19-84	ALDGEK_10095	97.07	100.0	273
LE17-10A	FMDALA_15365|LE19-84	ALDGEK_10105	95.94	100.06	1746
LE17-10A	FMDALA_15370|LE19-84	ALDGEK_10110	97.2	99.8	501
LE17-20C	FMDALA_15350|LE19-84	EIDGHK_21405	96.24	100.0	744
LE17-20C	FMDALA_15355|LE19-84	EIDGHK_21410	96.34	100.0	273
LE17-20C	FMDALA_15365|LE19-84	EIDGHK_21420	96.56	100.0	1746
LE17-20C	FMDALA_15370|LE19-84	EIDGHK_02025	97.0	99.8	501
LE18-22	FMDALA_15350|LE19-84	HENFNN_06500	96.37	100.0	744
LE18-22	FMDALA_15355|LE19-84	HENFNN_06505	95.97	100.0	273
LE18-22	FMDALA_15365|LE19-84	HENFNN_06515	98.05	100.0	1746
LE18-22	FMDALA_15370|LE19-84	HENFNN_06520	99.2	100.0	501
LE19-10	FMDALA_15350|LE19-84	PGKGJD_22350	96.91	100.0	744
LE19-10	FMDALA_15355|LE19-84	PGKGJD_22355	97.07	100.0	273
LE19-10	FMDALA_15365|LE19-84	PGKGJD_22365	98.17	100.0	1746
LE19-10	FMDALA_15370|LE19-84	PGKGJD_22370	99.0	100.0	501
LE19-114	FMDALA_15350|LE19-84	OCDKLD_01990	96.77	100.0	744
LE19-114	FMDALA_15355|LE19-84	OCDKLD_01995	97.07	100.0	273
LE19-114	FMDALA_15365|LE19-84	OCDKLD_02005	95.59	100.06	1746
LE19-114	FMDALA_15370|LE19-84	OCDKLD_02010	96.4	99.8	501
LE19-12	FMDALA_15350|LE19-84	GMBOIL_09410	95.7	100.0	744
LE19-12	FMDALA_15355|LE19-84	GMBOIL_09405	97.07	100.0	273
LE19-12	FMDALA_15365|LE19-84	GMBOIL_09395	96.11	100.0	1746
LE19-12	FMDALA_15370|LE19-84	GMBOIL_09390	97.8	99.8	501
LE19-131	FMDALA_15350|LE19-84	FLBHPM_10550	97.18	100.0	744
LE19-131	FMDALA_15355|LE19-84	FLBHPM_10545	96.34	100.0	273
LE19-131	FMDALA_15365|LE19-84	FLBHPM_10535	95.25	100.0	1746
LE19-131	FMDALA_15370|LE19-84	FLBHPM_10530	96.6	99.8	501
LE19-13	FMDALA_15350|LE19-84	IDJNMB_16430	97.04	100.0	744
LE19-13	FMDALA_15355|LE19-84	IDJNMB_16425	95.6	100.0	273
LE19-13	FMDALA_15365|LE19-84	IDJNMB_16415	95.48	100.0	1746
LE19-13	FMDALA_15370|LE19-84	IDJNMB_16410	97.0	99.8	501
LE19-195	FMDALA_15355|LE19-84	BHKFFO_05600	95.24	100.0	273
LE19-195	FMDALA_15365|LE19-84	BHKFFO_05590	98.57	100.0	1746
LE19-195	FMDALA_15370|LE19-84	BHKFFO_05585	99.2	100.0	501
LE19-195	FMDALA_15350|LE19-84	Unmatched	0.0	0.0	0
LE19-196	FMDALA_15350|LE19-84	JMPPHP_04615	96.77	100.0	744
LE19-196	FMDALA_15355|LE19-84	JMPPHP_03425	97.07	100.0	273
LE19-196	FMDALA_15365|LE19-84	JMPPHP_03435	95.94	100.06	1746
LE19-196	FMDALA_15370|LE19-84	JMPPHP_03440	97.2	99.8	501
LE19-197	FMDALA_15350|LE19-84	KBOODB_08830	95.7	100.0	744
LE19-197	FMDALA_15355|LE19-84	KBOODB_08835	97.07	100.0	273
LE19-197	FMDALA_15365|LE19-84	KBOODB_08845	96.11	100.0	1746
LE19-197	FMDALA_15370|LE19-84	KBOODB_08850	97.8	99.8	501
LE19-251	FMDALA_15350|LE19-84	IHLHBL_19465	96.91	100.0	744
LE19-251	FMDALA_15355|LE19-84	IHLHBL_19470	97.07	100.0	273
LE19-251	FMDALA_15365|LE19-84	IHLHBL_19480	98.17	100.0	1746
LE19-251	FMDALA_15370|LE19-84	IHLHBL_19485	99.0	100.0	501
LE19-281	FMDALA_15355|LE19-84	HOOJMB_10790	97.07	100.0	273
LE19-281	FMDALA_15365|LE19-84	HOOJMB_10780	97.9	76.46	1746
LE19-281	FMDALA_15370|LE19-84	HOOJMB_12805	99.0	100.0	501
LE19-281	FMDALA_15350|LE19-84	Unmatched	0.0	0.0	0
LE19-338	FMDALA_15350|LE19-84	IJGFIK_00300	97.58	100.0	744
LE19-338	FMDALA_15355|LE19-84	IJGFIK_00305	95.97	100.0	273
LE19-338	FMDALA_15370|LE19-84	IJGFIK_03010	98.8	100.0	501
LE19-338	FMDALA_15365|LE19-84	Unmatched	0.0	0.0	0
LE19-388	FMDALA_15350|LE19-84	KAKDBB_08430	97.58	100.0	744
LE19-388	FMDALA_15355|LE19-84	KAKDBB_08425	95.97	100.0	273
LE19-388	FMDALA_15365|LE19-84	KAKDBB_08415	98.34	100.0	1746
LE19-388	FMDALA_15370|LE19-84	KAKDBB_08410	98.8	100.0	501
LE19-41	FMDALA_15350|LE19-84	GLFEAL_23800	96.91	100.0	744
LE19-41	FMDALA_15355|LE19-84	GLFEAL_25700	97.07	100.0	273
LE19-41	FMDALA_15365|LE19-84	GLFEAL_25690	98.17	100.0	1746
LE19-41	FMDALA_15370|LE19-84	GLFEAL_25685	99.0	100.0	501
LE19-4	FMDALA_15350|LE19-84	FPMLKI_04705	96.77	100.0	744
LE19-4	FMDALA_15355|LE19-84	FPMLKI_04710	97.07	100.0	273
LE19-4	FMDALA_15365|LE19-84	FPMLKI_04720	95.94	100.06	1746
LE19-4	FMDALA_15370|LE19-84	FPMLKI_04725	97.2	99.8	501
LE19-55	FMDALA_15350|LE19-84	JGHBBJ_19300	96.91	100.0	744
LE19-55	FMDALA_15355|LE19-84	JGHBBJ_19295	95.6	100.0	273
LE19-55	FMDALA_15365|LE19-84	JGHBBJ_19285	95.82	100.0	1746
LE19-55	FMDALA_15370|LE19-84	JGHBBJ_19280	97.2	99.8	501
LE19-59	FMDALA_15350|LE19-84	GOKBEH_15465	96.91	100.0	744
