Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_00230|LE19-195	OCDKLD_08715	97.28	100.00	294
BHKFFO_00235|LE19-195	OCDKLD_08720	96.78	98.60	1071
BHKFFO_00240|LE19-195	OCDKLD_08725	96.60	100.00	705
BHKFFO_00265|LE19-195	OCDKLD_08735	95.53	100.00	828
BHKFFO_00270|LE19-195	OCDKLD_08740	97.06	100.00	1155
BHKFFO_00275|LE19-195	OCDKLD_08745	96.86	100.00	1590
BHKFFO_02475|LE19-195	OCDKLD_09720	97.39	99.65	1155
BHKFFO_02480|LE19-195	OCDKLD_09725	96.69	100.00	393
BHKFFO_02525|LE19-195	OCDKLD_08755	98.58	100.00	915
BHKFFO_05060|LE19-195	OCDKLD_11210	96.96	99.51	1224
BHKFFO_05070|LE19-195	OCDKLD_09735	95.84	100.00	1251
