Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03670|LE19-84	EIBFDN_04445	94.78	100.02	4287
FMDALA_03675|LE19-84	EIBFDN_04440	95.42	100.00	786
FMDALA_03680|LE19-84	EIBFDN_04435	95.45	100.00	2637
FMDALA_03685|LE19-84	EIBFDN_04430	96.68	98.05	615
FMDALA_03690|LE19-84	EIBFDN_21250	95.17	99.91	1098
FMDALA_03700|LE19-84	EIBFDN_02080	96.58	100.00	234
FMDALA_03705|LE19-84	EIBFDN_02085	95.71	100.00	630
FMDALA_03710|LE19-84	EIBFDN_02095	96.15	100.00	702
FMDALA_03715|LE19-84	EIBFDN_02100	93.57	100.00	171
FMDALA_03720|LE19-84	EIBFDN_02105	93.17	100.21	1944
FMDALA_03725|LE19-84	EIBFDN_02110	95.09	99.75	408
FMDALA_03730|LE19-84	EIBFDN_02115	96.03	100.00	252
FMDALA_03735|LE19-84	EIBFDN_02120	97.23	100.00	759
FMDALA_03740|LE19-84	EIBFDN_02125	95.93	100.00	393
FMDALA_10760|LE19-84	EIBFDN_04460	95.11	100.00	1044
FMDALA_10765|LE19-84	EIBFDN_04465	94.31	100.00	633
FMDALA_10770|LE19-84	EIBFDN_04470	92.03	100.00	627
FMDALA_10775|LE19-84	EIBFDN_04475	94.61	76.40	801
FMDALA_10800|LE19-84	EIBFDN_04510	94.00	98.52	609
FMDALA_10810|LE19-84	EIBFDN_06545	96.03	100.00	453
FMDALA_03695|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10755|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10780|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10785|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10790|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10805|LE19-84	Unmatched	0.0	0.0	0
