Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_01990|LE19-114	FKFHLE_13405	97.31	100.00	744
OCDKLD_01995|LE19-114	FKFHLE_13410	95.24	100.00	273
OCDKLD_02005|LE19-114	FKFHLE_13420	97.54	100.00	1746
OCDKLD_02010|LE19-114	FKFHLE_13425	98.20	100.00	501
OCDKLD_02380|LE19-114	FKFHLE_16800	97.91	100.00	669
OCDKLD_02385|LE19-114	FKFHLE_16805	99.71	100.00	345
OCDKLD_02390|LE19-114	FKFHLE_16810	96.74	100.00	981
OCDKLD_02395|LE19-114	FKFHLE_16815	97.68	100.00	474
OCDKLD_02400|LE19-114	FKFHLE_16820	99.77	100.00	444
OCDKLD_02405|LE19-114	FKFHLE_16825	99.49	100.00	390
OCDKLD_02410|LE19-114	FKFHLE_16830	99.20	100.00	750
OCDKLD_02415|LE19-114	FKFHLE_16835	98.00	100.00	1299
OCDKLD_02420|LE19-114	FKFHLE_16840	97.38	100.00	762
OCDKLD_02425|LE19-114	FKFHLE_16845	97.02	100.00	2079
OCDKLD_02320|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02325|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02330|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02335|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02340|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02345|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02350|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02355|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02360|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02365|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02370|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_02430|LE19-114	Unmatched	0.0	0.0	0
