Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_11690|LE19-114	FKFHLE_10775	97.71	96.50	543
OCDKLD_11695|LE19-114	FKFHLE_02080	96.25	100.00	480
OCDKLD_11700|LE19-114	FKFHLE_02085	98.74	100.00	159
OCDKLD_11705|LE19-114	FKFHLE_10770	98.26	100.00	975
OCDKLD_11710|LE19-114	FKFHLE_10765	97.63	98.98	981
OCDKLD_11715|LE19-114	FKFHLE_10760	97.39	102.00	150
OCDKLD_11720|LE19-114	FKFHLE_10755	98.52	100.00	1281
OCDKLD_11725|LE19-114	FKFHLE_10750	99.06	100.00	1062
OCDKLD_11730|LE19-114	FKFHLE_10745	95.58	100.00	792
OCDKLD_11735|LE19-114	FKFHLE_10740	94.45	100.08	1278
OCDKLD_11745|LE19-114	FKFHLE_10735	95.29	97.70	174
OCDKLD_11750|LE19-114	FKFHLE_10735	96.76	99.30	1149
OCDKLD_11755|LE19-114	FKFHLE_10730	98.87	100.00	177
OCDKLD_20945|LE19-114	FKFHLE_10780	96.12	100.00	2064
OCDKLD_11740|LE19-114	Unmatched	0.0	0.0	0
