Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_16780|LE19-84	ALDGEK_07160	97.01	99.73	738
LE17-10A	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_16780|LE19-84	EIDGHK_00025	98.1	99.73	738
LE17-20C	FMDALA_16790|LE19-84	EIDGHK_03150	92.04	100.23	426
LE17-20C	FMDALA_16795|LE19-84	EIDGHK_03155	94.95	100.0	2238
LE18-22	FMDALA_16780|LE19-84	HENFNN_17725	97.29	100.0	738
LE18-22	FMDALA_16790|LE19-84	HENFNN_17735	94.27	98.36	426
LE18-22	FMDALA_16795|LE19-84	HENFNN_17740	96.07	100.0	2238
LE19-10	FMDALA_16780|LE19-84	PGKGJD_24205	97.68	99.19	738
LE19-10	FMDALA_16790|LE19-84	PGKGJD_24195	93.79	98.36	426
LE19-10	FMDALA_16795|LE19-84	PGKGJD_24190	96.34	100.0	2238
LE19-114	FMDALA_16780|LE19-84	OCDKLD_09220	97.02	100.0	738
LE19-114	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-114	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_16780|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-12	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-131	FMDALA_16780|LE19-84	FLBHPM_10425	96.35	100.14	738
LE19-131	FMDALA_16790|LE19-84	FLBHPM_10415	93.56	98.36	426
LE19-131	FMDALA_16795|LE19-84	FLBHPM_10410	97.1	100.0	2238
LE19-13	FMDALA_16780|LE19-84	IDJNMB_14170	97.02	100.0	738
LE19-13	FMDALA_16790|LE19-84	IDJNMB_14160	95.7	98.36	426
LE19-13	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-195	FMDALA_16780|LE19-84	BHKFFO_01595	97.29	100.0	738
LE19-195	FMDALA_16790|LE19-84	BHKFFO_01585	94.84	100.0	426
LE19-195	FMDALA_16795|LE19-84	BHKFFO_01580	95.26	100.0	2238
LE19-196	FMDALA_16780|LE19-84	JMPPHP_07050	96.16	74.12	738
LE19-196	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-196	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-197	FMDALA_16780|LE19-84	KBOODB_08935	97.29	100.0	738
LE19-197	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-197	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-251	FMDALA_16780|LE19-84	IHLHBL_04260	97.68	99.19	738
LE19-251	FMDALA_16790|LE19-84	IHLHBL_04250	93.79	98.36	426
LE19-251	FMDALA_16795|LE19-84	IHLHBL_04245	96.34	100.0	2238
LE19-281	FMDALA_16780|LE19-84	HOOJMB_14765	97.29	100.0	738
LE19-281	FMDALA_16790|LE19-84	HOOJMB_14755	95.43	87.32	426
LE19-281	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-338	FMDALA_16780|LE19-84	IJGFIK_10840	97.15	100.0	738
LE19-338	FMDALA_16790|LE19-84	IJGFIK_10830	93.9	100.0	426
LE19-338	FMDALA_16795|LE19-84	IJGFIK_10825	97.1	100.0	2238
LE19-388	FMDALA_16780|LE19-84	KAKDBB_10955	97.15	100.0	738
LE19-388	FMDALA_16790|LE19-84	KAKDBB_10945	93.9	100.0	426
LE19-388	FMDALA_16795|LE19-84	KAKDBB_10940	97.1	100.0	2238
LE19-41	FMDALA_16780|LE19-84	GLFEAL_04365	97.29	100.0	738
LE19-41	FMDALA_16790|LE19-84	GLFEAL_04355	94.75	98.36	426
LE19-41	FMDALA_16795|LE19-84	GLFEAL_05945	95.58	100.0	2238
LE19-4	FMDALA_16780|LE19-84	FPMLKI_17005	97.01	99.73	738
LE19-4	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-4	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-55	FMDALA_16780|LE19-84	JGHBBJ_00975	97.29	100.0	738
LE19-55	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-55	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-59	FMDALA_16780|LE19-84	GOKBEH_01785	97.29	100.0	738
LE19-59	FMDALA_16790|LE19-84	GOKBEH_01775	94.75	98.36	426
LE19-59	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
LE19-84	FMDALA_16780|LE19-84	FMDALA_16780	100.0	100.0	738
LE19-84	FMDALA_16790|LE19-84	FMDALA_16790	100.0	100.0	426
LE19-84	FMDALA_16795|LE19-84	FMDALA_16795	100.0	100.0	2238
LE19-8	FMDALA_16780|LE19-84	MPFDBK_14145	98.1	99.73	738
LE19-8	FMDALA_16790|LE19-84	MPFDBK_11430	92.04	100.23	426
LE19-8	FMDALA_16795|LE19-84	MPFDBK_11435	94.95	100.0	2238
LE19-98	FMDALA_16780|LE19-84	NEOKJN_18700	97.29	100.0	738
LE19-98	FMDALA_16790|LE19-84	Unmatched	0.0	0.0	0
LE19-98	FMDALA_16795|LE19-84	Unmatched	0.0	0.0	0
Microcystis_aeruginosa_BS13-10	FMDALA_16780|LE19-84	EIBFDN_20450	94.89	98.1	738
Microcystis_aeruginosa_BS13-10	FMDALA_16790|LE19-84	EIBFDN_20440	92.51	100.23	426
Microcystis_aeruginosa_BS13-10	FMDALA_16795|LE19-84	EIBFDN_20435	95.62	100.0	2238
Microcystis_aeruginosa_LE3	FMDALA_16780|LE19-84	FKFHLE_16540	96.61	100.0	738
Microcystis_aeruginosa_LE3	FMDALA_16790|LE19-84	FKFHLE_16530	94.99	98.36	426
Microcystis_aeruginosa_LE3	FMDALA_16795|LE19-84	FKFHLE_16525	96.92	100.0	2238
