Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_04110|LE19-114	IOJBKL_08920	96.06	95.88	291
OCDKLD_04170|LE19-114	IOJBKL_08950	95.66	100.00	807
OCDKLD_04175|LE19-114	IOJBKL_08955	97.31	99.15	1875
OCDKLD_04180|LE19-114	IOJBKL_08960	97.12	100.00	1110
OCDKLD_04195|LE19-114	IOJBKL_19435	92.23	100.00	309
OCDKLD_04200|LE19-114	IOJBKL_19430	100.00	100.00	498
OCDKLD_04205|LE19-114	IOJBKL_19425	100.00	100.00	105
OCDKLD_04210|LE19-114	IOJBKL_19420	97.18	84.04	633
OCDKLD_04105|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04120|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04130|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04135|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04140|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04145|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04150|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04155|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04160|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04185|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18855|LE19-114	Unmatched	0.0	0.0	0
