Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_16340|LE19-12	FKFHLE_02080	97.50	100.00	480
GMBOIL_16345|LE19-12	FKFHLE_02075	97.04	100.00	4257
GMBOIL_16375|LE19-12	FKFHLE_14255	98.41	100.00	2070
GMBOIL_16380|LE19-12	FKFHLE_14250	97.61	100.00	1170
GMBOIL_16385|LE19-12	FKFHLE_14245	96.47	100.30	2007
GMBOIL_16390|LE19-12	FKFHLE_14240	98.54	95.37	432
GMBOIL_16395|LE19-12	FKFHLE_14235	96.21	98.46	1689
GMBOIL_16400|LE19-12	FKFHLE_14230	97.68	99.44	1428
GMBOIL_16405|LE19-12	FKFHLE_14225	96.30	100.00	783
GMBOIL_16410|LE19-12	FKFHLE_14220	97.69	100.00	954
GMBOIL_16350|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16355|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16360|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16365|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
