Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_06180|LE19-12	IOJBKL_00720	98.19	100.00	387
GMBOIL_11425|LE19-12	IOJBKL_22425	97.46	98.25	801
GMBOIL_21290|LE19-12	IOJBKL_14875	97.86	100.00	1731
GMBOIL_21365|LE19-12	IOJBKL_14880	96.84	100.00	1107
GMBOIL_21370|LE19-12	IOJBKL_06655	95.66	99.25	1068
GMBOIL_23135|LE19-12	IOJBKL_00710	83.40	101.25	720
GMBOIL_23145|LE19-12	IOJBKL_00690	97.41	100.00	810
GMBOIL_06165|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_18440|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21295|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21300|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21305|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21310|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21315|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21320|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21325|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21330|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21335|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21340|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21345|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21350|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21355|LE19-12	Unmatched	0.0	0.0	0
