Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_20160|LE19-84	EIBFDN_14995	95.22	82.72	405
FMDALA_20170|LE19-84	EIBFDN_23875	94.50	100.00	1746
FMDALA_20175|LE19-84	EIBFDN_20655	94.44	100.00	2160
FMDALA_20180|LE19-84	EIBFDN_20660	96.28	92.16	1224
FMDALA_20185|LE19-84	EIBFDN_20665	93.18	100.00	645
FMDALA_20190|LE19-84	EIBFDN_18025	94.78	97.95	684
FMDALA_20200|LE19-84	EIBFDN_18015	95.56	100.00	405
FMDALA_20205|LE19-84	EIBFDN_18010	96.24	99.86	693
FMDALA_20210|LE19-84	EIBFDN_18005	98.11	100.00	1590
FMDALA_20220|LE19-84	EIBFDN_22005	97.82	100.00	735
FMDALA_20225|LE19-84	EIBFDN_22010	97.72	100.00	789
FMDALA_20230|LE19-84	EIBFDN_22015	97.48	100.00	159
FMDALA_20235|LE19-84	EIBFDN_00600	96.04	100.00	480
FMDALA_21615|LE19-84	EIBFDN_00570	96.24	100.00	2076
FMDALA_21620|LE19-84	EIBFDN_00565	95.00	99.51	1227
FMDALA_21865|LE19-84	EIBFDN_13420	97.74	99.44	534
FMDALA_21870|LE19-84	EIBFDN_13415	96.62	100.10	975
FMDALA_21880|LE19-84	EIBFDN_13410	96.09	99.28	978
FMDALA_23395|LE19-84	EIBFDN_13425	95.79	100.05	2064
FMDALA_09345|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20165|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20215|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
