Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19390|LE19-12	JAMHJB_02435	91.01	100.00	378
GMBOIL_19395|LE19-12	JAMHJB_02430	95.02	100.00	462
GMBOIL_19415|LE19-12	JAMHJB_16625	99.32	100.00	876
GMBOIL_19420|LE19-12	JAMHJB_16620	97.50	100.00	600
GMBOIL_19425|LE19-12	JAMHJB_07600	98.56	98.26	921
GMBOIL_19430|LE19-12	JAMHJB_07595	98.72	100.00	1644
GMBOIL_19465|LE19-12	JAMHJB_12660	99.69	100.00	327
GMBOIL_19470|LE19-12	JAMHJB_12655	100.00	87.72	228
GMBOIL_19475|LE19-12	JAMHJB_12650	100.00	100.00	474
GMBOIL_19405|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19435|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19445|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19450|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19455|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19460|LE19-12	Unmatched	0.0	0.0	0
