Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_08715|LE19-114	IOJBKL_14780	97.28	100.00	294
OCDKLD_08720|LE19-114	IOJBKL_14775	97.16	99.91	1056
OCDKLD_08725|LE19-114	IOJBKL_14770	95.60	88.35	798
OCDKLD_08735|LE19-114	IOJBKL_11765	95.65	100.00	828
OCDKLD_08740|LE19-114	IOJBKL_11770	97.49	100.00	1155
OCDKLD_08745|LE19-114	IOJBKL_11775	96.98	100.00	1590
OCDKLD_08755|LE19-114	IOJBKL_11785	96.17	100.00	915
OCDKLD_09720|LE19-114	IOJBKL_09310	96.28	100.00	1155
OCDKLD_09725|LE19-114	IOJBKL_09315	96.95	100.00	393
OCDKLD_09735|LE19-114	IOJBKL_11595	96.15	99.60	1251
OCDKLD_09745|LE19-114	IOJBKL_22590	97.40	100.00	1155
OCDKLD_09750|LE19-114	IOJBKL_22595	95.92	99.10	891
OCDKLD_09760|LE19-114	IOJBKL_14330	93.84	100.33	615
OCDKLD_09765|LE19-114	IOJBKL_14335	97.94	100.00	291
OCDKLD_09770|LE19-114	IOJBKL_14340	98.23	100.00	906
OCDKLD_09775|LE19-114	IOJBKL_14345	96.88	99.90	996
OCDKLD_09780|LE19-114	IOJBKL_14350	97.98	100.00	396
OCDKLD_09785|LE19-114	IOJBKL_14355	98.27	100.00	1908
OCDKLD_09790|LE19-114	IOJBKL_01915	98.15	100.00	756
OCDKLD_09795|LE19-114	IOJBKL_01910	98.50	100.00	798
OCDKLD_09800|LE19-114	IOJBKL_01905	96.79	100.00	468
OCDKLD_09805|LE19-114	IOJBKL_01900	96.00	100.00	849
OCDKLD_09810|LE19-114	IOJBKL_01895	97.38	100.00	420
OCDKLD_09815|LE19-114	IOJBKL_01890	96.89	97.31	297
OCDKLD_09820|LE19-114	IOJBKL_01875	97.67	100.00	1161
OCDKLD_09825|LE19-114	IOJBKL_01870	96.29	100.00	1239
OCDKLD_11080|LE19-114	IOJBKL_21105	98.71	100.00	465
OCDKLD_11090|LE19-114	IOJBKL_08330	96.03	100.00	630
OCDKLD_11095|LE19-114	IOJBKL_08335	96.64	100.00	417
OCDKLD_11100|LE19-114	IOJBKL_08340	98.07	100.00	519
OCDKLD_11105|LE19-114	IOJBKL_08345	98.01	100.00	906
OCDKLD_11135|LE19-114	IOJBKL_00580	96.86	100.00	606
OCDKLD_11140|LE19-114	IOJBKL_00585	97.18	100.00	1278
OCDKLD_11145|LE19-114	IOJBKL_00600	96.57	99.85	672
OCDKLD_11150|LE19-114	IOJBKL_00605	96.14	100.00	1296
OCDKLD_11155|LE19-114	IOJBKL_00610	96.68	100.09	1173
OCDKLD_11160|LE19-114	IOJBKL_00615	97.96	100.00	834
OCDKLD_11210|LE19-114	IOJBKL_23665	97.21	97.21	1254
OCDKLD_08750|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_09730|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_09740|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_09755|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11085|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11110|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11120|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11165|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11170|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11175|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11180|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11185|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11200|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11205|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11215|LE19-114	Unmatched	0.0	0.0	0
