Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_14070|LE19-114	IOJBKL_15335	98.75	100.00	240
OCDKLD_14075|LE19-114	IOJBKL_15330	97.52	98.98	489
OCDKLD_14080|LE19-114	IOJBKL_15325	97.06	99.42	513
OCDKLD_14085|LE19-114	IOJBKL_15320	94.09	100.00	186
OCDKLD_14090|LE19-114	IOJBKL_15315	97.20	98.55	1452
OCDKLD_14105|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_14110|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_16140|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18200|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18205|LE19-114	Unmatched	0.0	0.0	0
