Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03670|LE19-84	FKFHLE_19840	96.62	99.37	4287
FMDALA_03675|LE19-84	FKFHLE_05470	96.44	100.00	786
FMDALA_03680|LE19-84	FKFHLE_05475	95.83	100.00	2637
FMDALA_03685|LE19-84	FKFHLE_05480	96.10	100.00	615
FMDALA_03690|LE19-84	FKFHLE_04705	96.63	99.91	1098
FMDALA_03695|LE19-84	FKFHLE_04700	97.48	100.00	1389
FMDALA_03700|LE19-84	FKFHLE_04695	97.01	100.00	234
FMDALA_03705|LE19-84	FKFHLE_04690	96.83	100.00	630
FMDALA_03710|LE19-84	FKFHLE_04685	98.29	100.00	702
FMDALA_03715|LE19-84	FKFHLE_04680	94.01	97.66	171
FMDALA_03720|LE19-84	FKFHLE_04675	94.27	100.51	1944
FMDALA_03725|LE19-84	FKFHLE_04670	97.30	100.00	408
FMDALA_03730|LE19-84	FKFHLE_04665	95.26	100.40	252
FMDALA_03735|LE19-84	FKFHLE_04660	97.76	100.00	759
FMDALA_03740|LE19-84	FKFHLE_04655	97.96	100.00	393
FMDALA_10760|LE19-84	FKFHLE_19855	96.55	100.00	1044
FMDALA_10765|LE19-84	FKFHLE_19860	96.68	100.00	633
FMDALA_10770|LE19-84	FKFHLE_19865	97.77	100.00	627
FMDALA_10775|LE19-84	FKFHLE_19870	98.38	100.00	801
FMDALA_10780|LE19-84	FKFHLE_19875	94.09	100.00	372
FMDALA_10785|LE19-84	FKFHLE_19880	95.91	100.03	3279
FMDALA_10790|LE19-84	FKFHLE_19885	97.81	100.00	777
FMDALA_10795|LE19-84	FKFHLE_19890	96.39	99.89	4470
FMDALA_10800|LE19-84	FKFHLE_19895	95.07	100.00	609
FMDALA_10805|LE19-84	FKFHLE_19900	97.54	100.00	1995
FMDALA_10810|LE19-84	FKFHLE_19905	96.03	100.00	453
FMDALA_10755|LE19-84	Unmatched	0.0	0.0	0
