Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_06180|LE19-12	ALDGEK_05645	98.45	100.0	387
LE17-10A	GMBOIL_11425|LE19-12	ALDGEK_11770	98.22	98.25	801
LE17-10A	GMBOIL_18440|LE19-12	ALDGEK_11780	94.13	74.33	939
LE17-10A	GMBOIL_21290|LE19-12	ALDGEK_12460	95.32	100.0	1731
LE17-10A	GMBOIL_21365|LE19-12	ALDGEK_12465	97.65	100.0	1107
LE17-10A	GMBOIL_21370|LE19-12	ALDGEK_12470	95.13	100.0	1068
LE17-10A	GMBOIL_23135|LE19-12	ALDGEK_05640	84.38	101.39	720
LE17-10A	GMBOIL_23145|LE19-12	ALDGEK_05630	97.65	100.0	810
LE17-10A	GMBOIL_06165|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21295|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21300|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21305|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21310|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21315|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21320|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21325|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21330|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21335|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21340|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21345|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21350|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_21355|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_06180|LE19-12	EIDGHK_06375	99.48	100.0	387
LE17-20C	GMBOIL_11425|LE19-12	EIDGHK_06570	97.0	100.0	801
LE17-20C	GMBOIL_21290|LE19-12	EIDGHK_13570	97.11	100.0	1731
LE17-20C	GMBOIL_21365|LE19-12	EIDGHK_13565	97.29	100.0	1107
LE17-20C	GMBOIL_21370|LE19-12	EIDGHK_13550	96.34	99.91	1068
LE17-20C	GMBOIL_23145|LE19-12	EIDGHK_06415	97.41	100.0	810
LE17-20C	GMBOIL_06165|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_18440|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21295|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21300|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21305|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21310|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21315|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21320|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21325|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21330|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21335|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21340|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21345|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21350|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_21355|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_23135|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_06180|LE19-12	HENFNN_13900	98.68	97.67	387
LE18-22	GMBOIL_11425|LE19-12	HENFNN_09205	97.63	100.0	801
LE18-22	GMBOIL_18440|LE19-12	HENFNN_09210	93.69	96.17	939
LE18-22	GMBOIL_21290|LE19-12	HENFNN_17995	98.09	100.0	1731
LE18-22	GMBOIL_21295|LE19-12	HENFNN_18000	99.26	100.0	675
LE18-22	GMBOIL_21300|LE19-12	HENFNN_18005	78.77	94.07	1197
LE18-22	GMBOIL_21355|LE19-12	HENFNN_21590	97.88	95.93	246
LE18-22	GMBOIL_21365|LE19-12	HENFNN_21585	96.66	100.0	1107
LE18-22	GMBOIL_21370|LE19-12	HENFNN_21580	95.51	100.0	1068
LE18-22	GMBOIL_23145|LE19-12	HENFNN_13920	97.65	99.88	810
LE18-22	GMBOIL_06165|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21305|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21310|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21315|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21320|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21325|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21330|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21335|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21340|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21345|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_21350|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_23135|LE19-12	Unmatched	0.0	0.0	0
LE19-10	GMBOIL_11425|LE19-12	PGKGJD_02125	97.2	98.25	801
