Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_07475|LE19-84	FKFHLE_09650	97.28	100.00	810
FMDALA_13860|LE19-84	FKFHLE_14900	97.50	100.00	240
FMDALA_15915|LE19-84	FKFHLE_09685	92.31	101.96	663
FMDALA_17125|LE19-84	FKFHLE_14890	96.53	100.00	1731
FMDALA_17130|LE19-84	FKFHLE_14885	98.37	100.00	675
FMDALA_17135|LE19-84	FKFHLE_14880	77.42	95.42	1179
FMDALA_23575|LE19-84	FKFHLE_14805	96.93	100.00	1107
FMDALA_05795|LE19-84	Unmatched	0.0	0.0	0
FMDALA_05800|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17140|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17145|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17150|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17155|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17160|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17165|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17170|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17175|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17180|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17185|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17190|LE19-84	Unmatched	0.0	0.0	0
FMDALA_17195|LE19-84	Unmatched	0.0	0.0	0
