Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_00045|LE19-84	EIBFDN_22125	96.52	100.00	1410
FMDALA_00055|LE19-84	EIBFDN_23520	94.67	100.00	225
FMDALA_00060|LE19-84	EIBFDN_23525	96.79	100.00	810
FMDALA_00075|LE19-84	EIBFDN_19840	97.93	100.00	483
FMDALA_00080|LE19-84	EIBFDN_19835	97.76	100.00	669
FMDALA_00090|LE19-84	EIBFDN_19830	96.59	97.23	1479
FMDALA_00095|LE19-84	EIBFDN_19825	97.41	100.00	1002
FMDALA_00100|LE19-84	EIBFDN_19820	96.08	100.00	867
FMDALA_00110|LE19-84	EIBFDN_19810	95.19	100.00	291
FMDALA_00050|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00065|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00085|LE19-84	Unmatched	0.0	0.0	0
FMDALA_00105|LE19-84	Unmatched	0.0	0.0	0
