Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_04110|LE19-114	FKFHLE_16115	97.59	100.00	291
OCDKLD_04115|LE19-114	FKFHLE_16110	99.49	100.00	8763
OCDKLD_04120|LE19-114	FKFHLE_16105	98.92	98.25	1317
OCDKLD_04145|LE19-114	FKFHLE_16090	98.66	100.00	597
OCDKLD_04150|LE19-114	FKFHLE_16085	98.47	100.00	1308
OCDKLD_04155|LE19-114	FKFHLE_16080	85.62	100.34	1164
OCDKLD_04160|LE19-114	FKFHLE_16075	98.16	100.00	708
OCDKLD_04170|LE19-114	FKFHLE_16065	96.41	100.00	807
OCDKLD_04175|LE19-114	FKFHLE_16060	97.81	100.00	1875
OCDKLD_04180|LE19-114	FKFHLE_16055	98.47	100.00	1110
OCDKLD_04185|LE19-114	FKFHLE_16050	98.29	74.03	3396
OCDKLD_04195|LE19-114	FKFHLE_18025	91.59	100.00	309
OCDKLD_04200|LE19-114	FKFHLE_18020	100.00	100.00	498
OCDKLD_04205|LE19-114	FKFHLE_18015	100.00	100.00	105
OCDKLD_04210|LE19-114	FKFHLE_18010	97.47	100.00	633
OCDKLD_04105|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04130|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04135|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04140|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_04190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_18855|LE19-114	Unmatched	0.0	0.0	0
