Query_Name,Reference_Name,Identity_Score,Query_Coverage,Query_Length
HOOJMB_00260 Secreted effector protein PipB2,ctg82_27_T3PKS-Merocyclophane_5_0,96.03,100,780
HOOJMB_00280 resolvase,ctg30_8_Novel-T3PKS_28_0,94.91,100,393
HOOJMB_00285 glutamate--cysteine ligase,ctg30_9_Novel-T3PKS_28_0,96.45,100,1155
HOOJMB_00335 hypothetical protein,ctg3_12_lanthipeptide_54_0,100,100,315
HOOJMB_00340 Nif11-like leader peptide family natural product precursor,ctg3_11_lanthipeptide_54_0,100,100,318
HOOJMB_00345 hypothetical protein,ctg3_10_lanthipeptide_54_0,100,100,258
HOOJMB_00410 peptidase S8,ctg13_1_Cyanobactin_64_0,95.49,90.04,1947
HOOJMB_00525 short-chain dehydrogenase,"ACM68688.1_aerF_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",97.75,100,801
HOOJMB_00530 Cupin domain-containing protein,"ACM68687.1_aerE_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",92.5,100,627
HOOJMB_00535 bacilysin biosynthesis protein BacA,"ACM68686.1_aerD_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",95.89,100,633
HOOJMB_00540 type 2 isopentenyl-diphosphate Delta-isomerase,"ACM68685.1_aerK_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",96.55,100,1044
HOOJMB_00545 hypothetical protein,"ACM68684.1_aerB_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",96.57,98.99,795
HOOJMB_01020 hypothetical protein,"AED99430.1_AED99430.1_PlanktothrixagardhiiNIES-596_prenylagaramideB,prenylagaramideC",88.65,99.46,186
HOOJMB_01025 transposase,ctg13_6_Cyanobactin_64_0,94.64,100,261
HOOJMB_01030 Putative restriction endonuclease,ctg13_2_Cyanobactin_64_0,91.29,94.04,537
HOOJMB_01035 ISL3 family transposase,AAF00967.1_uma4_MicrocystisaeruginosaPCC7806_microcystinLR,97.85,99.61,513
HOOJMB_01145 cysteine lyase,ctg36_7_NRPS-like_34_0,95.8,100,1215
HOOJMB_01150 recombinase B,ctg36_6_NRPS-like_34_0,97.25,93.47,1515
HOOJMB_01580 hypothetical protein,AAF00957.1_mcyG_MicrocystisaeruginosaPCC7806_microcystinLR,97.04,100,2265
HOOJMB_02205 thylakoid-associated protein,ctg71_10_T1PKS_51_0,94.72,100,303
HOOJMB_02210 2TM domain-containing protein,ctg71_11_T1PKS_51_0,97.65,100,255
HOOJMB_02450 23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,ctg82_8_T3PKS-Merocyclophane_5_0,97.23,100,867
HOOJMB_02455 Mini-ribonuclease 3,ctg82_9_T3PKS-Merocyclophane_5_0,98.32,100,417
HOOJMB_02460 anti-sigma F factor antagonist,ctg82_10_T3PKS-Merocyclophane_5_0,99.72,100,351
HOOJMB_02465 Beta-barrel assembly-enhancing protease,ctg35_7_hglE-KS_45_0,100,100,933
HOOJMB_02895 hypothetical protein,ctg36_3_NRPS-like_34_0,95.09,100,387
HOOJMB_03050 glycogen debranching protein,ctg28_3_RiPP-like_84_0,97.62,100,210
HOOJMB_03065 hypothetical protein,AAF00957.1_mcyG_MicrocystisaeruginosaPCC7806_microcystinLR,96.1,99.71,3780
HOOJMB_03435 OpuAC domain-containing protein,ctg82_4_T3PKS-Merocyclophane_5_0,98.53,100,273
HOOJMB_03440 Cysteine--tRNA ligase,ctg82_3_T3PKS-Merocyclophane_5_0,97.08,100,651
HOOJMB_03445 cysteine--tRNA ligase,ctg82_3_T3PKS-Merocyclophane_5_0,98.06,99.49,777
HOOJMB_03540 glycine cleavage system aminomethyltransferase GcvT,ctg34_19_Bartoloside-T1PKS_18_0,96.38,99.91,1107
HOOJMB_03750 hypothetical protein,ctg82_33_T3PKS-Merocyclophane_5_0,97.2,100,1035
HOOJMB_03765 anacyclamide synthesis protein AcyF,ctg13_5_Cyanobactin_64_0,96.88,100,897
HOOJMB_04190 peptide synthetase,"ACM68682.1_aerA_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",97.35,100,4260
HOOJMB_04195 FAD-dependent oxidoreductase,"ACM68683.1_aerJ_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C",99.73,100,1878
HOOJMB_04215 hypothetical protein,ctg5_12_RRE-containing_23_0,98.53,100,273
HOOJMB_04535 hypothetical protein,ctg35_2_hglE-KS_45_0,100,100,492
HOOJMB_04540 Acyltransferase domain-containing protein,ctg35_3_hglE-KS_45_0,99.97,100,3945
HOOJMB_04770 hypothetical protein,ctg71_3_T1PKS_51_0,98.23,100,396
HOOJMB_04775 AAA family ATPase,ctg71_4_T1PKS_51_0,96.57,100,1518
HOOJMB_04780 DUF1257 domain-containing protein,ctg71_5_T1PKS_51_0,99.44,100,354
HOOJMB_04785 SAM-dependent methyltransferase,ctg71_6_T1PKS_51_0,98.31,100.15,648
