Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_11720|LE19-114	EIDGHK_09725	97.42	100.00	1281
OCDKLD_11725|LE19-114	EIDGHK_09730	98.49	100.00	1062
OCDKLD_11730|LE19-114	EIDGHK_09735	95.33	100.00	792
OCDKLD_11735|LE19-114	EIDGHK_09740	96.01	100.00	1278
OCDKLD_11740|LE19-114	EIDGHK_09745	97.01	100.00	1170
OCDKLD_11745|LE19-114	EIDGHK_09750	92.90	97.13	174
OCDKLD_11750|LE19-114	EIDGHK_09750	96.06	99.30	1149
OCDKLD_11755|LE19-114	EIDGHK_09755	98.31	100.00	177
OCDKLD_11690|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11695|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11700|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11705|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11710|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11715|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_20945|LE19-114	Unmatched	0.0	0.0	0
