Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	GMBOIL_00375|LE19-12	ALDGEK_00740	97.16	100.0	705
LE17-10A	GMBOIL_00380|LE19-12	ALDGEK_00745	97.25	98.6	1071
LE17-10A	GMBOIL_00385|LE19-12	ALDGEK_00750	96.6	100.0	294
LE17-10A	GMBOIL_01635|LE19-12	ALDGEK_06115	95.17	100.0	207
LE17-10A	GMBOIL_01640|LE19-12	ALDGEK_06730	96.23	98.65	1263
LE17-10A	GMBOIL_01645|LE19-12	ALDGEK_06725	98.06	99.7	672
LE17-10A	GMBOIL_13905|LE19-12	ALDGEK_00725	99.43	100.0	174
LE17-10A	GMBOIL_14925|LE19-12	ALDGEK_00730	95.41	100.0	828
LE17-10A	GMBOIL_16650|LE19-12	ALDGEK_00710	97.16	100.0	915
LE17-10A	GMBOIL_16660|LE19-12	ALDGEK_00715	95.55	99.35	1539
LE17-10A	GMBOIL_16665|LE19-12	ALDGEK_00720	96.83	100.0	441
LE17-10A	GMBOIL_18875|LE19-12	ALDGEK_06715	98.1	100.0	1155
LE17-10A	GMBOIL_18880|LE19-12	ALDGEK_06720	97.2	100.0	393
LE17-10A	GMBOIL_02065|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_02070|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_13970|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_13975|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_13980|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_13985|LE19-12	Unmatched	0.0	0.0	0
LE17-10A	GMBOIL_13990|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_00375|LE19-12	EIDGHK_08125	96.6	100.0	705
LE17-20C	GMBOIL_00380|LE19-12	EIDGHK_08130	96.21	98.6	1071
LE17-20C	GMBOIL_00385|LE19-12	EIDGHK_08135	96.94	100.0	294
LE17-20C	GMBOIL_01635|LE19-12	EIDGHK_14355	97.08	82.61	207
LE17-20C	GMBOIL_01640|LE19-12	EIDGHK_01025	98.24	98.81	1263
LE17-20C	GMBOIL_01645|LE19-12	EIDGHK_01020	96.43	100.0	672
LE17-20C	GMBOIL_02065|LE19-12	EIDGHK_20510	97.81	100.37	273
LE17-20C	GMBOIL_13905|LE19-12	EIDGHK_08110	98.28	100.0	174
LE17-20C	GMBOIL_14925|LE19-12	EIDGHK_08115	95.17	100.0	828
LE17-20C	GMBOIL_16650|LE19-12	EIDGHK_08090	97.92	100.0	915
LE17-20C	GMBOIL_16660|LE19-12	EIDGHK_08095	93.83	100.06	1539
LE17-20C	GMBOIL_16665|LE19-12	EIDGHK_08105	97.73	100.0	441
LE17-20C	GMBOIL_18875|LE19-12	EIDGHK_18980	97.14	100.0	1155
LE17-20C	GMBOIL_18880|LE19-12	EIDGHK_18985	95.42	100.0	393
LE17-20C	GMBOIL_02070|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_13970|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_13975|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_13980|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_13985|LE19-12	Unmatched	0.0	0.0	0
LE17-20C	GMBOIL_13990|LE19-12	Unmatched	0.0	0.0	0
LE18-22	GMBOIL_00375|LE19-12	HENFNN_16775	97.45	100.0	705
LE18-22	GMBOIL_00380|LE19-12	HENFNN_16770	97.2	100.0	1071
LE18-22	GMBOIL_00385|LE19-12	HENFNN_16765	96.6	100.0	294
LE18-22	GMBOIL_01635|LE19-12	HENFNN_14335	97.66	82.61	207
LE18-22	GMBOIL_01640|LE19-12	HENFNN_14325	97.27	98.65	1263
LE18-22	GMBOIL_13905|LE19-12	HENFNN_16805	95.4	100.0	174
LE18-22	GMBOIL_14925|LE19-12	HENFNN_16800	95.05	100.0	828
