Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_04575|LE19-12	JAMHJB_16975	99.54	100.00	216
GMBOIL_07370|LE19-12	JAMHJB_16980	100.00	100.00	255
GMBOIL_07375|LE19-12	JAMHJB_16985	100.00	100.00	198
GMBOIL_08380|LE19-12	JAMHJB_17955	98.56	100.00	348
GMBOIL_08385|LE19-12	JAMHJB_17960	97.89	100.00	993
GMBOIL_08390|LE19-12	JAMHJB_17965	99.19	100.00	246
GMBOIL_08395|LE19-12	JAMHJB_17970	98.52	100.00	135
GMBOIL_08400|LE19-12	JAMHJB_17975	99.17	100.00	120
GMBOIL_12050|LE19-12	JAMHJB_14010	98.33	100.00	300
GMBOIL_13745|LE19-12	JAMHJB_14025	98.43	100.00	318
GMBOIL_13750|LE19-12	JAMHJB_14020	97.50	100.00	1641
GMBOIL_13755|LE19-12	JAMHJB_14015	96.05	100.00	354
GMBOIL_20865|LE19-12	JAMHJB_14005	98.10	100.00	1209
GMBOIL_20870|LE19-12	JAMHJB_14000	98.34	100.00	783
GMBOIL_20875|LE19-12	JAMHJB_13995	97.94	100.00	1116
GMBOIL_20880|LE19-12	JAMHJB_13990	98.31	100.00	531
GMBOIL_21465|LE19-12	JAMHJB_16990	99.84	100.00	624
GMBOIL_04235|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04240|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04245|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04250|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04255|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04260|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04560|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21625|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21630|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_21635|LE19-12	Unmatched	0.0	0.0	0
