Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_00315|LE19-114	JAMHJB_14410	97.82	100.00	780
OCDKLD_00320|LE19-114	JAMHJB_14405	91.48	101.73	519
OCDKLD_00325|LE19-114	JAMHJB_12840	95.01	70.78	510
OCDKLD_00330|LE19-114	JAMHJB_12835	86.95	86.59	522
OCDKLD_00335|LE19-114	JAMHJB_12840	95.98	100.00	423
OCDKLD_00340|LE19-114	JAMHJB_12845	96.64	100.00	1548
OCDKLD_00345|LE19-114	JAMHJB_12850	96.56	100.00	813
OCDKLD_00355|LE19-114	JAMHJB_12860	96.54	100.00	780
OCDKLD_00360|LE19-114	JAMHJB_12865	97.85	100.00	1491
OCDKLD_07820|LE19-114	JAMHJB_13160	95.68	100.00	2313
OCDKLD_16905|LE19-114	JAMHJB_08875	98.61	100.00	1443
OCDKLD_16910|LE19-114	JAMHJB_08870	97.91	100.00	1530
OCDKLD_16915|LE19-114	JAMHJB_08865	95.62	100.00	1005
OCDKLD_16920|LE19-114	JAMHJB_08860	96.65	100.00	1434
OCDKLD_16925|LE19-114	JAMHJB_14440	97.54	95.96	297
OCDKLD_16930|LE19-114	JAMHJB_14435	95.50	100.00	867
OCDKLD_16935|LE19-114	JAMHJB_14430	97.36	100.00	417
OCDKLD_16940|LE19-114	JAMHJB_14425	97.44	100.00	351
OCDKLD_16945|LE19-114	JAMHJB_14420	96.95	100.00	1149
OCDKLD_16950|LE19-114	JAMHJB_14415	95.07	101.13	882
OCDKLD_17555|LE19-114	JAMHJB_00800	96.83	96.93	228
OCDKLD_00255|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00260|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00265|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00270|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00275|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00280|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00285|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00290|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00295|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00300|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00305|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_00310|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_12925|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_16955|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_16960|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_17545|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_17550|LE19-114	Unmatched	0.0	0.0	0
