Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
group_13137	ctg75_4_T1PKS_37_0	96.37	100.00	303
group_1936	ctg75_9_T1PKS_37_0	98.19	100.00	774
group_10237	ctg35_5_hglE-KS_45_0	100.00	100.00	885
group_7078	ctg35_4_hglE-KS_45_0	100.00	100.00	954
group_12108	ctg3_12_lanthipeptide_54_0	100.00	100.00	315
group_12602	ctg3_2_lanthipeptide_54_0	100.00	100.00	309
group_14604	AAF00961.1_mcyB_MicrocystisaeruginosaPCC7806_microcystinLR	96.78	97.13	3867
group_14623	ctg36_2_NRPS-like_34_0	92.59	94.74	114
group_7	ctg83_9_lanthipeptide_21_0	100.00	100.00	291
group_4084	ctg20_14_NRPS-T1PKS_26_0	93.85	76.29	426
group_14684	ctg34_26_Bartoloside-T1PKS_18_0	97.03	89.39	264
group_14700	ctg82_34_T3PKS-Merocyclophane_5_0	92.83	100.00	558
group_14702	ctg32_2_samp_471_14978_NRPS	74.69	94.83	4974
group_11876	ctg34_3_Bartoloside-T1PKS_18_0	95.24	100.00	168
group_5663	ctg5_20_RRE-containing_23_0	100.00	100.00	228
group_14793	ABI26077.1_ociA_PlanktothrixagardhiiNIVA-CYA116_cyanopeptolin	95.05	100.00	222
group_2405	ctg28_6_RiPP-like_84_0	99.87	100.00	759
group_8662	ctg28_4_RiPP-like_84_0	100.00	100.00	354
group_3924	ctg115_1_Cyanobactin_90_0	94.59	100.92	1410
lPA3	ctg105_6_Anabaenopeptin_16_0	94.47	99.73	744
group_15171	ctg82_14_T3PKS-Merocyclophane_5_0	97.44	100.00	390
group_15214	ctg34_26_Bartoloside-T1PKS_18_0	93.98	100.00	681
group_15218	ctg36_2_NRPS-like_34_0	88.31	94.20	345
group_15224	AAF00962.1_mcyC_MicrocystisaeruginosaPCC7806_microcystinLR	96.46	100.00	1413
group_15236	ctg82_35_T3PKS-Merocyclophane_5_0	98.21	100.00	168
group_15258	ctg82_18_T3PKS-Merocyclophane_5_0	97.89	98.76	2016
group_13806	AED99433.1_pagE5_PlanktothrixagardhiiNIES-596_prenylagaramideB,prenylagaramideC	85.81	100.68	147
group_15267	ctg82_18_T3PKS-Merocyclophane_5_0	98.21	92.26	969
group_15276	ctg13_3_Cyanobactin_64_0	91.72	100.00	447
group_15282	ctg82_34_T3PKS-Merocyclophane_5_0	91.46	99.69	963
group_15317	ctg34_26_Bartoloside-T1PKS_18_0	91.67	100.00	288
group_15321	ABI26077.1_ociA_PlanktothrixagardhiiNIVA-CYA116_cyanopeptolin	88.21	80.51	3678
group_15326	AAF00961.1_mcyB_MicrocystisaeruginosaPCC7806_microcystinLR	96.44	100.05	3936
group_15380	ctg71_6_T1PKS_51_0	97.36	98.06	309
group_15493	ctg34_26_Bartoloside-T1PKS_18_0	84.72	109.09	264
