Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	BHKFFO_14595|LE19-195	ALDGEK_06810	97.58	99.31	291
LE17-10A	BHKFFO_14600|LE19-195	ALDGEK_06805	97.14	100.0	420
LE17-10A	BHKFFO_14605|LE19-195	ALDGEK_06800	98.12	100.0	849
LE17-10A	BHKFFO_14610|LE19-195	ALDGEK_06795	97.44	100.0	468
LE17-10A	BHKFFO_14615|LE19-195	ALDGEK_06790	99.0	100.0	798
LE17-10A	BHKFFO_14620|LE19-195	ALDGEK_06785	99.07	100.0	756
LE17-10A	BHKFFO_14625|LE19-195	ALDGEK_06780	98.06	97.55	1956
LE17-10A	BHKFFO_14630|LE19-195	ALDGEK_06775	97.98	100.0	396
LE17-10A	BHKFFO_14635|LE19-195	ALDGEK_06770	97.39	99.9	996
LE17-10A	BHKFFO_14640|LE19-195	ALDGEK_06765	97.02	100.0	906
LE17-10A	BHKFFO_14645|LE19-195	ALDGEK_06760	97.94	100.0	291
LE17-10A	BHKFFO_14655|LE19-195	ALDGEK_06750	95.77	100.0	213
LE17-10A	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE17-20C	BHKFFO_14595|LE19-195	EIDGHK_14485	96.9	99.66	291
LE17-20C	BHKFFO_14600|LE19-195	EIDGHK_14490	97.62	100.0	420
LE17-20C	BHKFFO_14605|LE19-195	EIDGHK_14495	95.88	100.0	849
LE17-20C	BHKFFO_14610|LE19-195	EIDGHK_14500	96.58	100.0	468
LE17-20C	BHKFFO_14615|LE19-195	EIDGHK_14505	99.12	100.0	798
LE17-20C	BHKFFO_14620|LE19-195	EIDGHK_14510	98.81	100.0	756
LE17-20C	BHKFFO_14625|LE19-195	EIDGHK_14515	98.1	99.74	1956
LE17-20C	BHKFFO_14635|LE19-195	EIDGHK_12480	96.98	99.9	996
LE17-20C	BHKFFO_14640|LE19-195	EIDGHK_12475	96.91	100.0	906
LE17-20C	BHKFFO_14645|LE19-195	EIDGHK_12470	98.97	100.0	291
LE17-20C	BHKFFO_14655|LE19-195	EIDGHK_12460	95.31	100.0	213
LE17-20C	BHKFFO_14630|LE19-195	Unmatched	0.0	0.0	0
LE17-20C	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE18-22	BHKFFO_14595|LE19-195	HENFNN_00080	98.97	100.0	291
LE18-22	BHKFFO_14600|LE19-195	HENFNN_00085	99.29	100.0	420
LE18-22	BHKFFO_14605|LE19-195	HENFNN_00090	98.59	100.0	849
LE18-22	BHKFFO_14610|LE19-195	HENFNN_00095	98.08	100.0	468
LE18-22	BHKFFO_14615|LE19-195	HENFNN_00100	99.0	100.0	798
LE18-22	BHKFFO_14620|LE19-195	HENFNN_00105	99.47	100.0	756
LE18-22	BHKFFO_14625|LE19-195	HENFNN_00110	99.28	100.0	1956
LE18-22	BHKFFO_14630|LE19-195	HENFNN_00115	97.22	100.0	396
LE18-22	BHKFFO_14635|LE19-195	HENFNN_00120	98.59	100.0	996
LE18-22	BHKFFO_14640|LE19-195	HENFNN_05190	99.45	100.0	906
LE18-22	BHKFFO_14645|LE19-195	HENFNN_05185	99.66	100.0	291
LE18-22	BHKFFO_14650|LE19-195	HENFNN_05180	98.19	100.0	552
LE18-22	BHKFFO_14655|LE19-195	HENFNN_05175	96.24	100.0	213
LE19-10	BHKFFO_14595|LE19-195	PGKGJD_18535	98.97	100.0	291
LE19-10	BHKFFO_14600|LE19-195	PGKGJD_18540	98.57	100.0	420
LE19-10	BHKFFO_14605|LE19-195	PGKGJD_18545	98.35	100.0	849
LE19-10	BHKFFO_14610|LE19-195	PGKGJD_18550	98.29	100.0	468
LE19-10	BHKFFO_14615|LE19-195	PGKGJD_17395	98.75	100.0	798
LE19-10	BHKFFO_14620|LE19-195	PGKGJD_17390	98.68	100.0	756
LE19-10	BHKFFO_14625|LE19-195	PGKGJD_17385	98.64	97.6	1956
LE19-10	BHKFFO_14630|LE19-195	PGKGJD_17380	97.22	100.0	396
LE19-10	BHKFFO_14635|LE19-195	PGKGJD_17370	98.29	100.0	996
LE19-10	BHKFFO_14640|LE19-195	PGKGJD_14880	97.79	100.0	906
LE19-10	BHKFFO_14645|LE19-195	PGKGJD_14885	98.28	100.0	291
LE19-10	BHKFFO_14655|LE19-195	PGKGJD_14895	93.9	100.0	213
LE19-10	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE19-114	BHKFFO_14595|LE19-195	OCDKLD_09815	97.92	99.31	291
LE19-114	BHKFFO_14600|LE19-195	OCDKLD_09810	97.86	100.0	420
LE19-114	BHKFFO_14605|LE19-195	OCDKLD_09805	96.58	100.0	849
LE19-114	BHKFFO_14610|LE19-195	OCDKLD_09800	97.86	100.0	468
LE19-114	BHKFFO_14615|LE19-195	OCDKLD_09795	98.87	100.0	798
LE19-114	BHKFFO_14620|LE19-195	OCDKLD_09790	98.54	100.0	756
LE19-114	BHKFFO_14625|LE19-195	OCDKLD_09785	98.17	97.6	1956
LE19-114	BHKFFO_14630|LE19-195	OCDKLD_09780	96.72	100.0	396
LE19-114	BHKFFO_14635|LE19-195	OCDKLD_09775	96.68	99.9	996
LE19-114	BHKFFO_14640|LE19-195	OCDKLD_09770	98.45	100.0	906
LE19-114	BHKFFO_14645|LE19-195	OCDKLD_09765	97.59	100.0	291
LE19-114	BHKFFO_14655|LE19-195	OCDKLD_09755	96.24	100.0	213
LE19-114	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE19-12	BHKFFO_14595|LE19-195	GMBOIL_21745	98.62	99.66	291
LE19-12	BHKFFO_14600|LE19-195	GMBOIL_21740	98.57	100.0	420
LE19-12	BHKFFO_14605|LE19-195	GMBOIL_21735	97.17	100.0	849
LE19-12	BHKFFO_14610|LE19-195	GMBOIL_21730	98.93	100.0	468
LE19-12	BHKFFO_14615|LE19-195	GMBOIL_21725	98.87	100.0	798
LE19-12	BHKFFO_14620|LE19-195	GMBOIL_21720	98.68	100.0	756
LE19-12	BHKFFO_14625|LE19-195	GMBOIL_21715	97.8	99.74	1956
LE19-12	BHKFFO_14630|LE19-195	GMBOIL_21710	97.22	100.0	396
LE19-12	BHKFFO_14635|LE19-195	GMBOIL_21705	97.28	99.7	996
LE19-12	BHKFFO_14640|LE19-195	GMBOIL_21700	97.35	100.0	906
LE19-12	BHKFFO_14645|LE19-195	GMBOIL_21695	97.94	100.0	291
LE19-12	BHKFFO_14655|LE19-195	GMBOIL_21685	96.24	100.0	213
LE19-12	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE19-13	BHKFFO_14595|LE19-195	IDJNMB_11835	98.97	100.0	291
LE19-13	BHKFFO_14600|LE19-195	IDJNMB_11840	98.57	100.0	420
LE19-13	BHKFFO_14605|LE19-195	IDJNMB_11845	97.29	100.0	849
LE19-13	BHKFFO_14610|LE19-195	IDJNMB_11850	98.08	100.0	468
LE19-13	BHKFFO_14615|LE19-195	IDJNMB_11855	98.87	100.0	798
LE19-13	BHKFFO_14620|LE19-195	IDJNMB_11860	98.68	100.0	756
LE19-13	BHKFFO_14625|LE19-195	IDJNMB_11865	98.48	97.55	1956
LE19-13	BHKFFO_14630|LE19-195	IDJNMB_11870	96.97	100.0	396
LE19-13	BHKFFO_14635|LE19-195	IDJNMB_12910	96.99	100.0	996
LE19-13	BHKFFO_14645|LE19-195	IDJNMB_12905	97.94	100.0	291
LE19-13	BHKFFO_14655|LE19-195	IDJNMB_12895	94.37	100.0	213
LE19-13	BHKFFO_14640|LE19-195	Unmatched	0.0	0.0	0
LE19-13	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE19-131	BHKFFO_14595|LE19-195	FLBHPM_16050	98.97	100.0	291
LE19-131	BHKFFO_14600|LE19-195	FLBHPM_16045	98.81	100.0	420
LE19-131	BHKFFO_14605|LE19-195	FLBHPM_16040	97.53	100.0	849
LE19-131	BHKFFO_14610|LE19-195	FLBHPM_16035	97.22	100.0	468
LE19-131	BHKFFO_14615|LE19-195	FLBHPM_16030	98.75	100.0	798
LE19-131	BHKFFO_14620|LE19-195	FLBHPM_16025	98.68	100.0	756
LE19-131	BHKFFO_14625|LE19-195	FLBHPM_16020	98.27	97.55	1956
LE19-131	BHKFFO_14630|LE19-195	FLBHPM_16015	97.22	100.0	396
LE19-131	BHKFFO_14635|LE19-195	FLBHPM_10860	96.39	100.0	996
LE19-131	BHKFFO_14640|LE19-195	FLBHPM_10865	98.74	79.14	906
LE19-131	BHKFFO_14645|LE19-195	FLBHPM_10870	97.59	100.0	291
LE19-131	BHKFFO_14655|LE19-195	FLBHPM_10880	94.37	100.0	213
LE19-131	BHKFFO_14650|LE19-195	Unmatched	0.0	0.0	0
LE19-195	BHKFFO_14595|LE19-195	BHKFFO_14595	100.0	100.0	291
LE19-195	BHKFFO_14600|LE19-195	BHKFFO_14600	100.0	100.0	420
LE19-195	BHKFFO_14605|LE19-195	BHKFFO_14605	100.0	100.0	849
LE19-195	BHKFFO_14610|LE19-195	BHKFFO_14610	100.0	100.0	468
LE19-195	BHKFFO_14615|LE19-195	BHKFFO_14615	100.0	100.0	798
LE19-195	BHKFFO_14620|LE19-195	BHKFFO_14620	100.0	100.0	756
LE19-195	BHKFFO_14625|LE19-195	BHKFFO_14625	100.0	100.0	1956
LE19-195	BHKFFO_14630|LE19-195	BHKFFO_14630	100.0	100.0	396
LE19-195	BHKFFO_14635|LE19-195	BHKFFO_14635	100.0	100.0	996
LE19-195	BHKFFO_14640|LE19-195	BHKFFO_14640	100.0	100.0	906
LE19-195	BHKFFO_14645|LE19-195	BHKFFO_14645	100.0	100.0	291
LE19-195	BHKFFO_14650|LE19-195	BHKFFO_14650	100.0	100.0	552
LE19-195	BHKFFO_14655|LE19-195	BHKFFO_14655	100.0	100.0	213
LE19-196	BHKFFO_14595|LE19-195	JMPPHP_11535	97.58	99.31	291
LE19-196	BHKFFO_14600|LE19-195	JMPPHP_11530	97.14	100.0	420
LE19-196	BHKFFO_14605|LE19-195	JMPPHP_11525	98.12	100.0	849
LE19-196	BHKFFO_14610|LE19-195	JMPPHP_11520	97.44	100.0	468
LE19-196	BHKFFO_14615|LE19-195	JMPPHP_11515	99.0	100.0	798
