Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_16340|LE19-12	IOJBKL_00395	94.79	100.00	480
GMBOIL_16350|LE19-12	IOJBKL_00385	97.98	100.00	1878
GMBOIL_16355|LE19-12	IOJBKL_00380	94.56	81.85	14178
GMBOIL_16360|LE19-12	IOJBKL_00375	92.04	100.00	603
GMBOIL_16365|LE19-12	IOJBKL_00375	98.42	100.04	2661
GMBOIL_16375|LE19-12	IOJBKL_00365	97.44	100.00	2070
GMBOIL_16380|LE19-12	IOJBKL_00360	95.73	100.09	1170
GMBOIL_16385|LE19-12	IOJBKL_00355	96.57	100.30	2007
GMBOIL_16390|LE19-12	IOJBKL_00350	96.84	95.37	432
GMBOIL_16395|LE19-12	IOJBKL_00345	96.74	100.00	1689
GMBOIL_16400|LE19-12	IOJBKL_00990	97.89	99.44	1428
GMBOIL_16405|LE19-12	IOJBKL_00985	93.87	100.00	783
GMBOIL_16410|LE19-12	IOJBKL_00980	96.41	99.16	954
GMBOIL_16345|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_16370|LE19-12	Unmatched	0.0	0.0	0
