Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_01595|LE19-84	ALDGEK_02920	97.18	100.0	354
LE17-10A	FMDALA_01600|LE19-84	ALDGEK_17995	97.41	100.0	771
LE17-10A	FMDALA_01605|LE19-84	ALDGEK_18000	97.77	100.0	1209
LE17-10A	FMDALA_01610|LE19-84	ALDGEK_18005	97.32	100.0	783
LE17-10A	FMDALA_01615|LE19-84	ALDGEK_18010	96.77	100.0	1116
LE17-10A	FMDALA_01620|LE19-84	ALDGEK_18015	97.36	100.0	531
LE17-10A	FMDALA_06000|LE19-84	ALDGEK_15170	97.11	100.0	762
LE17-10A	FMDALA_06005|LE19-84	ALDGEK_15175	99.04	100.0	312
LE17-10A	FMDALA_06010|LE19-84	ALDGEK_15180	98.43	100.0	1527
LE17-10A	FMDALA_06015|LE19-84	ALDGEK_10285	100.0	100.0	120
LE17-10A	FMDALA_06020|LE19-84	ALDGEK_10280	100.0	100.0	120
LE17-10A	FMDALA_06025|LE19-84	ALDGEK_10275	98.52	100.0	135
LE17-10A	FMDALA_06030|LE19-84	ALDGEK_10270	99.59	100.0	246
LE17-10A	FMDALA_06035|LE19-84	ALDGEK_10265	97.48	100.0	993
LE17-10A	FMDALA_06040|LE19-84	ALDGEK_10260	99.71	100.0	348
LE17-10A	FMDALA_06540|LE19-84	ALDGEK_11420	94.86	90.12	324
LE17-10A	FMDALA_06545|LE19-84	ALDGEK_02925	97.22	99.82	1623
LE17-10A	FMDALA_06550|LE19-84	ALDGEK_02930	98.43	100.0	318
LE17-10A	FMDALA_06555|LE19-84	ALDGEK_02995	97.47	100.0	198
LE17-10A	FMDALA_06560|LE19-84	ALDGEK_03000	97.57	100.0	576
LE17-10A	FMDALA_06570|LE19-84	ALDGEK_03005	95.42	100.0	1398
LE17-10A	FMDALA_06575|LE19-84	ALDGEK_03010	96.67	100.0	930
LE17-10A	FMDALA_06580|LE19-84	ALDGEK_03015	96.69	100.0	453
LE17-10A	FMDALA_06590|LE19-84	ALDGEK_07855	96.99	100.0	831
LE17-10A	FMDALA_06045|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_06050|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_06595|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09755|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09760|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09765|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09770|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09775|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09780|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09785|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09790|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09795|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09800|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09805|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_09810|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_01595|LE19-84	EIDGHK_07355	96.89	100.0	354
LE17-20C	FMDALA_01600|LE19-84	EIDGHK_07360	96.89	100.0	771
LE17-20C	FMDALA_01605|LE19-84	EIDGHK_07365	97.19	100.0	1209
LE17-20C	FMDALA_01610|LE19-84	EIDGHK_07370	97.45	100.0	783
LE17-20C	FMDALA_01615|LE19-84	EIDGHK_07375	96.77	100.0	1116
LE17-20C	FMDALA_01620|LE19-84	EIDGHK_07380	97.18	100.0	531
LE17-20C	FMDALA_06000|LE19-84	EIDGHK_18255	98.03	100.0	762
LE17-20C	FMDALA_06005|LE19-84	EIDGHK_18250	98.72	100.0	312
LE17-20C	FMDALA_06010|LE19-84	EIDGHK_18245	97.97	100.0	1527
LE17-20C	FMDALA_06015|LE19-84	EIDGHK_18240	99.17	100.0	120
LE17-20C	FMDALA_06020|LE19-84	EIDGHK_18235	99.17	100.0	120
LE17-20C	FMDALA_06025|LE19-84	EIDGHK_18230	99.26	100.0	135
LE17-20C	FMDALA_06030|LE19-84	EIDGHK_18225	98.37	100.0	246
LE17-20C	FMDALA_06035|LE19-84	EIDGHK_18220	97.68	100.0	993
LE17-20C	FMDALA_06040|LE19-84	EIDGHK_18215	98.85	100.0	348
LE17-20C	FMDALA_06045|LE19-84	EIDGHK_07315	95.91	100.0	2298
LE17-20C	FMDALA_06050|LE19-84	EIDGHK_07280	99.63	100.0	267
LE17-20C	FMDALA_06540|LE19-84	EIDGHK_10610	95.83	74.07	324
LE17-20C	FMDALA_06545|LE19-84	EIDGHK_07350	97.21	99.51	1623
LE17-20C	FMDALA_06550|LE19-84	EIDGHK_07345	98.43	100.0	318
LE17-20C	FMDALA_06555|LE19-84	EIDGHK_04175	98.99	100.0	198
LE17-20C	FMDALA_06560|LE19-84	EIDGHK_04170	96.88	100.0	576
LE17-20C	FMDALA_06570|LE19-84	EIDGHK_04165	95.28	100.0	1398
LE17-20C	FMDALA_06575|LE19-84	EIDGHK_04160	97.74	100.0	930
LE17-20C	FMDALA_06580|LE19-84	EIDGHK_04155	98.01	100.0	453
LE17-20C	FMDALA_06590|LE19-84	EIDGHK_18295	97.35	100.0	831
LE17-20C	FMDALA_09760|LE19-84	EIDGHK_07225	90.0	89.99	1089
LE17-20C	FMDALA_09765|LE19-84	EIDGHK_07235	99.17	87.68	276
LE17-20C	FMDALA_09770|LE19-84	EIDGHK_07240	98.15	100.0	216
LE17-20C	FMDALA_06565|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_06585|LE19-84	Unmatched	0.0	0.0	0
