Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_08260|LE19-84	EIBFDN_00770	96.11	100.04	2313
FMDALA_16130|LE19-84	EIBFDN_12165	96.34	100.00	246
FMDALA_17705|LE19-84	EIBFDN_07175	97.51	100.07	1443
FMDALA_17710|LE19-84	EIBFDN_07180	96.99	100.00	1530
FMDALA_17715|LE19-84	EIBFDN_07185	96.92	100.00	1005
FMDALA_17720|LE19-84	EIBFDN_07190	96.86	100.00	1434
FMDALA_17725|LE19-84	EIBFDN_07195	97.19	100.00	285
FMDALA_17730|LE19-84	EIBFDN_07200	95.16	100.00	867
FMDALA_17735|LE19-84	EIBFDN_00415	96.40	100.00	417
FMDALA_17740|LE19-84	EIBFDN_00420	96.58	100.00	351
FMDALA_17745|LE19-84	EIBFDN_00425	96.95	100.00	1149
FMDALA_17750|LE19-84	EIBFDN_00430	93.91	100.67	897
FMDALA_17755|LE19-84	EIBFDN_00505	97.56	100.00	780
FMDALA_17760|LE19-84	EIBFDN_00510	96.59	100.00	528
FMDALA_19695|LE19-84	EIBFDN_00515	88.96	83.59	390
FMDALA_19700|LE19-84	EIBFDN_00525	94.80	100.58	1548
FMDALA_19705|LE19-84	EIBFDN_00530	97.41	99.75	813
FMDALA_19715|LE19-84	EIBFDN_00540	97.31	100.00	780
FMDALA_19720|LE19-84	EIBFDN_00545	96.67	98.79	1491
FMDALA_09310|LE19-84	Unmatched	0.0	0.0	0
FMDALA_10740|LE19-84	Unmatched	0.0	0.0	0
FMDALA_16125|LE19-84	Unmatched	0.0	0.0	0
