Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_00255|LE19-114	BHKFFO_03610	98.71	100.00	930
OCDKLD_00260|LE19-114	BHKFFO_03615	99.09	100.00	660
OCDKLD_00265|LE19-114	BHKFFO_03620	98.63	100.00	3795
OCDKLD_00270|LE19-114	BHKFFO_03625	98.49	99.89	5445
OCDKLD_00275|LE19-114	BHKFFO_03630	99.09	100.00	3963
OCDKLD_00280|LE19-114	BHKFFO_03635	99.17	100.00	1320
OCDKLD_00285|LE19-114	BHKFFO_03640	99.06	100.00	1176
OCDKLD_00290|LE19-114	BHKFFO_03645	99.83	100.00	606
OCDKLD_00295|LE19-114	BHKFFO_03650	98.47	100.00	1632
OCDKLD_00300|LE19-114	BHKFFO_03655	98.00	100.00	1302
OCDKLD_00305|LE19-114	BHKFFO_03660	98.16	100.00	1356
OCDKLD_00310|LE19-114	BHKFFO_03665	98.61	100.00	3099
OCDKLD_00315|LE19-114	BHKFFO_03670	96.28	100.00	780
OCDKLD_00320|LE19-114	BHKFFO_03675	94.70	101.73	519
OCDKLD_00325|LE19-114	BHKFFO_03680	94.46	70.78	510
OCDKLD_00335|LE19-114	BHKFFO_03680	95.04	100.00	423
OCDKLD_00340|LE19-114	BHKFFO_03685	95.59	101.16	1548
OCDKLD_00345|LE19-114	BHKFFO_03690	97.78	99.75	813
OCDKLD_00355|LE19-114	BHKFFO_03700	97.69	100.00	780
OCDKLD_00360|LE19-114	BHKFFO_03705	97.99	100.00	1491
OCDKLD_07820|LE19-114	BHKFFO_03545	95.94	100.00	2313
OCDKLD_12925|LE19-114	BHKFFO_03725	86.58	84.62	273
OCDKLD_16905|LE19-114	BHKFFO_03550	97.09	100.00	1443
OCDKLD_16910|LE19-114	BHKFFO_03555	97.39	100.00	1530
OCDKLD_16915|LE19-114	BHKFFO_03560	96.32	100.00	1005
OCDKLD_16920|LE19-114	BHKFFO_03565	96.86	100.00	1434
OCDKLD_16925|LE19-114	BHKFFO_03570	95.62	100.00	297
OCDKLD_16930|LE19-114	BHKFFO_03575	95.50	100.00	867
OCDKLD_16935|LE19-114	BHKFFO_03580	97.12	100.00	417
OCDKLD_16940|LE19-114	BHKFFO_03585	96.87	100.00	351
OCDKLD_16945|LE19-114	BHKFFO_03590	96.26	100.00	1149
OCDKLD_16950|LE19-114	BHKFFO_03595	95.28	100.79	882
OCDKLD_16955|LE19-114	BHKFFO_03600	98.64	100.00	2718
OCDKLD_16960|LE19-114	BHKFFO_03605	99.31	100.00	1443
OCDKLD_17545|LE19-114	BHKFFO_03720	99.80	100.00	498
OCDKLD_17550|LE19-114	BHKFFO_03715	99.59	100.00	246
OCDKLD_17555|LE19-114	BHKFFO_03710	90.00	105.26	228
OCDKLD_00330|LE19-114	Unmatched	0.0	0.0	0
