Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_03400|LE19-84	EIDGHK_12450	97.49	100.00	1155
FMDALA_03405|LE19-84	EIDGHK_12455	97.42	100.00	891
FMDALA_03410|LE19-84	EIDGHK_12460	96.71	100.00	213
FMDALA_03420|LE19-84	EIDGHK_12470	98.97	100.00	291
FMDALA_03425|LE19-84	EIDGHK_12475	96.91	100.00	906
FMDALA_03430|LE19-84	EIDGHK_12480	97.69	99.90	996
FMDALA_03440|LE19-84	EIDGHK_14515	97.43	100.00	1908
FMDALA_03445|LE19-84	EIDGHK_14510	96.83	100.00	756
FMDALA_03450|LE19-84	EIDGHK_14505	98.37	100.00	798
FMDALA_03455|LE19-84	EIDGHK_14500	97.01	100.00	468
FMDALA_03460|LE19-84	EIDGHK_14495	96.11	100.00	849
FMDALA_03465|LE19-84	EIDGHK_14490	98.57	100.00	420
FMDALA_03470|LE19-84	EIDGHK_14485	96.18	96.00	300
FMDALA_03475|LE19-84	EIDGHK_14480	96.96	98.97	1164
FMDALA_03480|LE19-84	EIDGHK_14475	97.58	100.00	1239
FMDALA_03485|LE19-84	EIDGHK_14470	94.42	73.42	1881
FMDALA_03490|LE19-84	EIDGHK_14465	95.81	93.07	231
FMDALA_03395|LE19-84	Unmatched	0.0	0.0	0
FMDALA_03415|LE19-84	Unmatched	0.0	0.0	0
FMDALA_03435|LE19-84	Unmatched	0.0	0.0	0
