Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_19390|LE19-12	KAKDBB_12285	95.77	100.00	378
GMBOIL_19395|LE19-12	KAKDBB_12280	95.45	100.00	462
GMBOIL_19415|LE19-12	KAKDBB_02895	97.49	100.00	876
GMBOIL_19420|LE19-12	KAKDBB_02900	96.80	99.00	600
GMBOIL_19430|LE19-12	KAKDBB_09045	97.32	100.00	1644
GMBOIL_19435|LE19-12	KAKDBB_08310	96.86	96.36	165
GMBOIL_19445|LE19-12	KAKDBB_08315	97.21	100.00	789
GMBOIL_19450|LE19-12	KAKDBB_08320	97.41	100.00	735
GMBOIL_19470|LE19-12	KAKDBB_16720	97.37	100.00	228
GMBOIL_19405|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19425|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19440|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19455|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19460|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19465|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_19475|LE19-12	Unmatched	0.0	0.0	0
