Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_08715|LE19-114	ALDGEK_00750	99.66	100.00	294
OCDKLD_08720|LE19-114	ALDGEK_00745	98.67	100.00	1056
OCDKLD_08725|LE19-114	ALDGEK_00740	96.83	98.87	798
OCDKLD_08735|LE19-114	ALDGEK_00730	98.31	100.00	828
OCDKLD_08740|LE19-114	ALDGEK_00725	97.92	100.00	1155
OCDKLD_08745|LE19-114	ALDGEK_00720	98.43	100.00	1590
OCDKLD_08750|LE19-114	ALDGEK_00715	99.68	100.00	1545
OCDKLD_08755|LE19-114	ALDGEK_00710	98.58	100.00	915
OCDKLD_09720|LE19-114	ALDGEK_06715	96.88	100.00	1155
OCDKLD_09725|LE19-114	ALDGEK_06720	95.93	100.00	393
OCDKLD_09730|LE19-114	ALDGEK_06725	97.25	100.00	909
OCDKLD_09735|LE19-114	ALDGEK_06730	98.88	100.00	1251
OCDKLD_09740|LE19-114	ALDGEK_06735	98.92	99.46	186
OCDKLD_09745|LE19-114	ALDGEK_06740	98.53	100.00	1155
OCDKLD_09750|LE19-114	ALDGEK_06745	99.33	100.00	891
OCDKLD_09755|LE19-114	ALDGEK_06750	99.53	100.00	213
OCDKLD_09760|LE19-114	ALDGEK_06755	97.89	100.33	615
OCDKLD_09765|LE19-114	ALDGEK_06760	98.63	100.00	291
OCDKLD_09770|LE19-114	ALDGEK_06765	97.90	100.00	906
OCDKLD_09775|LE19-114	ALDGEK_06770	98.29	100.00	996
OCDKLD_09780|LE19-114	ALDGEK_06775	96.72	100.00	396
OCDKLD_09785|LE19-114	ALDGEK_06780	98.53	100.00	1908
OCDKLD_09790|LE19-114	ALDGEK_06785	98.94	100.00	756
OCDKLD_09795|LE19-114	ALDGEK_06790	99.12	100.00	798
OCDKLD_09800|LE19-114	ALDGEK_06795	98.08	100.00	468
OCDKLD_09805|LE19-114	ALDGEK_06800	97.06	100.00	849
OCDKLD_09810|LE19-114	ALDGEK_06805	98.81	100.00	420
OCDKLD_09815|LE19-114	ALDGEK_06810	99.66	100.00	297
OCDKLD_09820|LE19-114	ALDGEK_06820	99.14	100.00	1161
OCDKLD_09825|LE19-114	ALDGEK_06825	97.90	100.00	1239
OCDKLD_11080|LE19-114	ALDGEK_06205	99.35	100.00	465
OCDKLD_11085|LE19-114	ALDGEK_06200	99.11	100.00	1341
OCDKLD_11090|LE19-114	ALDGEK_06195	95.87	100.00	630
OCDKLD_11095|LE19-114	ALDGEK_06190	99.04	100.00	417
OCDKLD_11100|LE19-114	ALDGEK_06185	99.04	100.00	519
OCDKLD_11105|LE19-114	ALDGEK_06180	98.45	100.00	906
OCDKLD_11120|LE19-114	ALDGEK_01620	88.58	100.00	219
OCDKLD_11135|LE19-114	ALDGEK_06145	97.85	100.00	606
OCDKLD_11140|LE19-114	ALDGEK_06140	98.67	100.00	1278
OCDKLD_11145|LE19-114	ALDGEK_06135	97.32	100.00	672
OCDKLD_11150|LE19-114	ALDGEK_06130	98.07	100.00	1296
OCDKLD_11155|LE19-114	ALDGEK_06125	97.95	100.00	1173
OCDKLD_11160|LE19-114	ALDGEK_06120	99.64	100.00	834
OCDKLD_11210|LE19-114	ALDGEK_06115	98.17	100.00	1254
OCDKLD_11215|LE19-114	ALDGEK_10965	97.80	91.84	1140
OCDKLD_11110|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11115|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11125|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11165|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11170|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11175|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11180|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11185|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11190|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11195|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11200|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_11205|LE19-114	Unmatched	0.0	0.0	0
