Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
accA | LE19-195	JAMHJB_03950	97.88	100.00	990
allA | LE19-195	JAMHJB_08020	96.97	100.00	495
apcECpcD | LE19-195	JAMHJB_16570	99.20	100.00	879
argF | LE19-195	JAMHJB_01460	98.27	100.00	927
argG | LE19-195	JAMHJB_15995	97.51	100.00	1206
aroE | LE19-195	JAMHJB_09320	97.33	94.72	909
aroK | LE19-195	JAMHJB_01385	99.30	99.83	573
arsR | LE19-195	JAMHJB_12560	95.28	100.00	339
atpB | LE19-195	JAMHJB_17260	98.80	100.00	750
atpE | LE19-195	JAMHJB_17265	98.78	100.00	246
atpF | LE19-195	JAMHJB_17275	98.71	100.00	543
atpG | LE19-195	JAMHJB_17290	97.68	100.00	948
atpH | LE19-195	JAMHJB_17280	98.00	100.00	549
bioB | LE19-195	JAMHJB_06400	97.44	100.00	1095
bioY | LE19-195	JAMHJB_06405	97.70	100.00	651
btpA | LE19-195	JAMHJB_12745	97.89	94.72	852
cbbL | LE19-195	JAMHJB_08575	98.23	100.00	1416
cbiT | LE19-195	JAMHJB_07180	96.62	100.00	591
ccb1 | LE19-195	JAMHJB_14260	97.88	100.00	519
ccmK1~~~ccmK | LE19-195	JAMHJB_08555	98.54	100.00	342
ccmL | LE19-195	JAMHJB_08560	97.43	99.68	312
ccsB | LE19-195	JAMHJB_16085	97.77	100.00	987
cdsA | LE19-195	JAMHJB_07175	98.03	100.00	912
citT | LE19-195	JAMHJB_13095	96.78	100.00	1800
clpX | LE19-195	JAMHJB_09620	98.43	100.00	1335
coaD | LE19-195	JAMHJB_14350	96.62	100.00	474
cobC | LE19-195	JAMHJB_10445	97.68	100.00	1338
cobD | LE19-195	JAMHJB_08060	96.97	96.08	1098
cobQ | LE19-195	JAMHJB_09695	97.09	100.00	1476
cofG | LE19-195	JAMHJB_07820	97.41	100.00	888
cpcB | LE19-195	JAMHJB_16585	98.27	100.00	519
cpcT1 | LE19-195	JAMHJB_06030	96.41	100.00	585
cpsB | LE19-195	JAMHJB_06570	97.74	100.00	1062
crcB | LE19-195	JAMHJB_09095	96.41	100.00	390
csdA | LE19-195	JAMHJB_09385	95.97	100.00	1215
ctaA | LE19-195	JAMHJB_09730	97.26	100.00	912
cyoC | LE19-195	JAMHJB_09715	98.40	100.00	624
cysQ | LE19-195	JAMHJB_18475	96.69	100.00	876
dacB | LE19-195	JAMHJB_14870	95.83	99.89	888
ddl | LE19-195	JAMHJB_16550	96.19	99.15	1059
dndE | LE19-195	JAMHJB_16305	97.99	100.00	399
dusA | LE19-195	JAMHJB_00945	98.35	100.00	1029
elsH | LE19-195	JAMHJB_00245	97.06	100.00	783
eno | LE19-195	JAMHJB_00435	97.38	100.00	1299
fabB | LE19-195	JAMHJB_08970	96.71	99.82	1125
fabH | LE19-195	JAMHJB_12790	97.03	100.00	975
fabZ | LE19-195	JAMHJB_09030	97.92	100.00	480
fkpA | LE19-195	JAMHJB_06680	97.30	100.00	519
