Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_06995|LE19-84	FKFHLE_19390	97.91	100.00	1911
FMDALA_07000|LE19-84	FKFHLE_19395	98.57	100.00	771
FMDALA_07005|LE19-84	FKFHLE_19400	97.48	100.00	1749
FMDALA_07010|LE19-84	FKFHLE_19405	97.31	100.00	891
FMDALA_07015|LE19-84	FKFHLE_19410	97.30	100.00	1038
FMDALA_07020|LE19-84	FKFHLE_19415	97.48	99.78	1392
FMDALA_07025|LE19-84	FKFHLE_19420	99.00	100.00	702
FMDALA_07030|LE19-84	FKFHLE_19425	97.60	100.00	1335
FMDALA_07050|LE19-84	FKFHLE_08760	96.73	100.14	732
FMDALA_07040|LE19-84	Unmatched	0.0	0.0	0
