Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
BHKFFO_01775|LE19-195	ALDGEK_18715	89.17	100.94	1701
BHKFFO_01780|LE19-195	ALDGEK_18710	97.26	100.00	876
BHKFFO_01785|LE19-195	ALDGEK_18705	97.20	100.00	1359
BHKFFO_01795|LE19-195	ALDGEK_21930	94.03	100.00	201
BHKFFO_01800|LE19-195	ALDGEK_21935	96.57	100.00	408
BHKFFO_01805|LE19-195	ALDGEK_21940	95.81	100.00	1026
BHKFFO_01815|LE19-195	ALDGEK_21950	96.95	91.16	792
BHKFFO_16575|LE19-195	ALDGEK_19850	96.19	100.00	1182
BHKFFO_16580|LE19-195	ALDGEK_19845	97.82	100.00	642
BHKFFO_16585|LE19-195	ALDGEK_19840	96.59	100.00	411
BHKFFO_16590|LE19-195	ALDGEK_19835	98.00	100.00	600
BHKFFO_17605|LE19-195	ALDGEK_19120	98.14	100.00	1881
BHKFFO_17610|LE19-195	ALDGEK_19125	98.46	100.00	390
BHKFFO_01790|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01810|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01820|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_01825|LE19-195	Unmatched	0.0	0.0	0
BHKFFO_16570|LE19-195	Unmatched	0.0	0.0	0
