Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_17765|LE19-84	EIBFDN_04020	95.01	94.13	426
FMDALA_17770|LE19-84	EIBFDN_04015	91.43	100.00	210
FMDALA_17775|LE19-84	EIBFDN_04010	88.40	79.39	228
FMDALA_17780|LE19-84	EIBFDN_04005	96.90	93.81	792
FMDALA_17795|LE19-84	EIBFDN_18340	97.67	100.17	600
FMDALA_17800|LE19-84	EIBFDN_18345	95.86	100.00	411
FMDALA_17805|LE19-84	EIBFDN_18350	97.51	100.00	642
FMDALA_17810|LE19-84	EIBFDN_18355	96.02	100.00	1182
FMDALA_17815|LE19-84	EIBFDN_18360	95.15	100.22	453
FMDALA_17820|LE19-84	EIBFDN_04710	95.50	100.09	1110
FMDALA_17825|LE19-84	EIBFDN_04715	89.37	101.40	501
FMDALA_17830|LE19-84	EIBFDN_04720	97.18	100.00	390
FMDALA_17835|LE19-84	EIBFDN_04725	98.14	100.00	1881
FMDALA_17785|LE19-84	Unmatched	0.0	0.0	0
