Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
FMDALA_20170|LE19-84	FKFHLE_11860	93.99	100.00	1746
FMDALA_20175|LE19-84	FKFHLE_11855	94.63	100.00	2160
FMDALA_20180|LE19-84	FKFHLE_11850	97.06	100.00	1224
FMDALA_20185|LE19-84	FKFHLE_11845	97.05	99.69	645
FMDALA_20190|LE19-84	FKFHLE_11840	95.61	100.00	684
FMDALA_20200|LE19-84	FKFHLE_11830	96.64	95.56	405
FMDALA_20205|LE19-84	FKFHLE_11825	97.55	100.00	693
FMDALA_20210|LE19-84	FKFHLE_11820	84.15	99.62	1590
FMDALA_20220|LE19-84	FKFHLE_02095	96.73	100.00	735
FMDALA_20225|LE19-84	FKFHLE_02090	97.97	100.00	789
FMDALA_20230|LE19-84	FKFHLE_02085	97.48	100.00	159
FMDALA_20235|LE19-84	FKFHLE_02080	97.92	100.00	480
FMDALA_21615|LE19-84	FKFHLE_14255	96.29	100.00	2076
FMDALA_21620|LE19-84	FKFHLE_14250	96.67	95.35	1227
FMDALA_21865|LE19-84	FKFHLE_10775	97.57	100.00	534
FMDALA_21870|LE19-84	FKFHLE_10770	97.23	100.00	975
FMDALA_21880|LE19-84	FKFHLE_10765	97.03	100.00	978
FMDALA_23395|LE19-84	FKFHLE_10780	95.74	100.05	2064
FMDALA_09345|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20160|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20165|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20195|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20215|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20240|LE19-84	Unmatched	0.0	0.0	0
FMDALA_20245|LE19-84	Unmatched	0.0	0.0	0
