Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	FMDALA_03865|LE19-84	ALDGEK_15410	97.81	100.0	639
LE17-10A	FMDALA_03870|LE19-84	ALDGEK_15405	96.95	100.0	753
LE17-10A	FMDALA_20520|LE19-84	ALDGEK_15400	97.94	100.0	1116
LE17-10A	FMDALA_20525|LE19-84	ALDGEK_15395	98.02	100.0	657
LE17-10A	FMDALA_20530|LE19-84	ALDGEK_15390	96.35	100.39	519
LE17-10A	FMDALA_20535|LE19-84	ALDGEK_15385	99.32	99.66	294
LE17-10A	FMDALA_20540|LE19-84	ALDGEK_15380	97.03	100.0	639
LE17-10A	FMDALA_05510|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_05515|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10430|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10435|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10440|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10445|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10450|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10455|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10460|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10465|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10470|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10475|LE19-84	Unmatched	0.0	0.0	0
LE17-10A	FMDALA_10480|LE19-84	Unmatched	0.0	0.0	0
LE17-20C	FMDALA_03865|LE19-84	EIDGHK_11260	96.87	100.0	639
LE17-20C	FMDALA_03870|LE19-84	EIDGHK_11265	96.95	100.0	753
LE17-20C	FMDALA_10440|LE19-84	EIDGHK_06915	92.72	100.0	261
LE17-20C	FMDALA_10445|LE19-84	EIDGHK_06910	94.89	100.0	567
LE17-20C	FMDALA_10450|LE19-84	EIDGHK_06905	93.96	100.0	579
LE17-20C	FMDALA_10455|LE19-84	EIDGHK_06900	92.56	100.76	654
LE17-20C	FMDALA_10470|LE19-84	EIDGHK_06930	92.89	100.0	225
LE17-20C	FMDALA_10475|LE19-84	EIDGHK_06925	94.9	100.0	294
