Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
GMBOIL_04235|LE19-12	JGHBBJ_07545	98.44	100.00	192
GMBOIL_04240|LE19-12	JGHBBJ_07565	96.35	100.00	192
GMBOIL_04260|LE19-12	JGHBBJ_07540	98.45	100.00	711
GMBOIL_04560|LE19-12	JGHBBJ_04345	100.00	100.00	273
GMBOIL_04575|LE19-12	JGHBBJ_04320	99.54	100.00	216
GMBOIL_07370|LE19-12	JGHBBJ_04315	100.00	100.00	255
GMBOIL_07375|LE19-12	JGHBBJ_04310	99.49	100.00	198
GMBOIL_08380|LE19-12	JGHBBJ_07535	98.28	100.00	348
GMBOIL_08385|LE19-12	JGHBBJ_07530	97.78	100.00	993
GMBOIL_08390|LE19-12	JGHBBJ_07525	98.78	100.00	246
GMBOIL_08395|LE19-12	JGHBBJ_07520	100.00	100.00	135
GMBOIL_08400|LE19-12	JGHBBJ_07515	99.17	100.00	120
GMBOIL_12050|LE19-12	JGHBBJ_18060	99.33	100.00	300
GMBOIL_13745|LE19-12	JGHBBJ_18045	96.86	100.00	318
GMBOIL_13750|LE19-12	JGHBBJ_18050	97.38	99.94	1641
GMBOIL_13755|LE19-12	JGHBBJ_18055	94.92	100.00	354
GMBOIL_20865|LE19-12	JGHBBJ_18065	98.26	100.00	1209
GMBOIL_20870|LE19-12	JGHBBJ_18070	96.93	100.00	783
GMBOIL_20875|LE19-12	JGHBBJ_18075	98.21	100.00	1116
GMBOIL_20880|LE19-12	JGHBBJ_18080	98.12	100.00	531
GMBOIL_21465|LE19-12	JGHBBJ_04305	83.24	83.17	624
GMBOIL_21625|LE19-12	JGHBBJ_04350	99.66	100.00	291
GMBOIL_21630|LE19-12	JGHBBJ_04355	99.39	100.00	495
GMBOIL_21635|LE19-12	JGHBBJ_07550	97.97	100.00	345
GMBOIL_04245|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04250|LE19-12	Unmatched	0.0	0.0	0
GMBOIL_04255|LE19-12	Unmatched	0.0	0.0	0
