Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
OCDKLD_05235|LE19-114	JAMHJB_05980	92.62	92.91	423
OCDKLD_05250|LE19-114	JAMHJB_11070	96.73	99.74	1164
OCDKLD_05255|LE19-114	JAMHJB_14795	97.01	100.00	1473
OCDKLD_05285|LE19-114	JAMHJB_14785	95.49	98.30	1353
OCDKLD_05290|LE19-114	JAMHJB_14780	96.18	100.21	966
OCDKLD_05220|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05225|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05230|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05240|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05245|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05260|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05265|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05270|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05275|LE19-114	Unmatched	0.0	0.0	0
OCDKLD_05280|LE19-114	Unmatched	0.0	0.0	0
