Strain_Name	Query_Name	Reference_Name	Identity_Score	Query_Coverage	Query_Length
LE17-10A	OCDKLD_14460|LE19-114	ALDGEK_10075	98.55	100.0	2004
LE17-10A	OCDKLD_14485|LE19-114	ALDGEK_15535	96.51	96.63	267
LE17-10A	OCDKLD_14490|LE19-114	ALDGEK_15540	95.41	100.0	1743
LE17-10A	OCDKLD_14495|LE19-114	ALDGEK_15555	97.58	99.1	666
LE17-10A	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE17-10A	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE17-10A	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE17-10A	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14495|LE19-114	EIDGHK_00720	98.02	98.8	666
LE17-20C	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE17-20C	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14495|LE19-114	HENFNN_06470	98.48	98.8	666
LE18-22	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE18-22	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14460|LE19-114	PGKGJD_18915	78.37	98.75	2004
LE19-10	OCDKLD_14495|LE19-114	PGKGJD_18645	98.63	98.8	666
LE19-10	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-10	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-114	OCDKLD_14460|LE19-114	OCDKLD_14460	100.0	100.0	2004
LE19-114	OCDKLD_14465|LE19-114	OCDKLD_14465	100.0	100.0	7359
LE19-114	OCDKLD_14470|LE19-114	OCDKLD_14470	100.0	100.0	3444
LE19-114	OCDKLD_14475|LE19-114	OCDKLD_14475	100.0	100.0	9552
LE19-114	OCDKLD_14480|LE19-114	OCDKLD_14480	100.0	100.0	1377
LE19-114	OCDKLD_14485|LE19-114	OCDKLD_14485	100.0	100.0	267
LE19-114	OCDKLD_14490|LE19-114	OCDKLD_14490	100.0	100.0	1743
LE19-114	OCDKLD_14495|LE19-114	OCDKLD_14495	100.0	100.0	666
LE19-12	OCDKLD_14460|LE19-114	GMBOIL_16555	98.75	100.0	2004
LE19-12	OCDKLD_14480|LE19-114	GMBOIL_03190	98.11	100.0	1377
LE19-12	OCDKLD_14485|LE19-114	GMBOIL_03185	97.75	100.0	267
LE19-12	OCDKLD_14490|LE19-114	GMBOIL_03180	97.53	100.0	1743
LE19-12	OCDKLD_14495|LE19-114	GMBOIL_06120	98.18	98.8	666
LE19-12	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-12	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-12	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14495|LE19-114	IDJNMB_16440	98.33	98.8	666
LE19-13	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-13	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-131	OCDKLD_14460|LE19-114	FLBHPM_15135	99.75	100.0	2004
LE19-131	OCDKLD_14480|LE19-114	FLBHPM_04245	85.07	97.75	1377
LE19-131	OCDKLD_14485|LE19-114	FLBHPM_04235	89.64	94.01	267
LE19-131	OCDKLD_14490|LE19-114	FLBHPM_04230	92.54	100.0	1743
LE19-131	OCDKLD_14495|LE19-114	FLBHPM_11190	99.24	98.95	666
LE19-131	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-131	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-131	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14495|LE19-114	BHKFFO_02955	98.18	98.95	666
LE19-195	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-195	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14485|LE19-114	JMPPHP_15485	96.51	96.63	267
LE19-196	OCDKLD_14495|LE19-114	JMPPHP_12775	97.58	99.1	666
LE19-196	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-196	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-197	OCDKLD_14460|LE19-114	KBOODB_09345	98.75	100.0	2004
LE19-197	OCDKLD_14480|LE19-114	KBOODB_20005	98.11	100.0	1377
LE19-197	OCDKLD_14485|LE19-114	KBOODB_20000	97.75	100.0	267
LE19-197	OCDKLD_14490|LE19-114	KBOODB_19995	97.53	100.0	1743
LE19-197	OCDKLD_14495|LE19-114	KBOODB_19980	98.18	98.8	666
LE19-197	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-197	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-197	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14495|LE19-114	IHLHBL_20180	98.63	98.8	666
LE19-251	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-251	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
LE19-281	OCDKLD_14495|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14495|LE19-114	IJGFIK_12740	97.58	99.1	666
LE19-338	OCDKLD_14460|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14465|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14470|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14475|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14480|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14485|LE19-114	Unmatched	0.0	0.0	0
LE19-338	OCDKLD_14490|LE19-114	Unmatched	0.0	0.0	0
